trajectory	block_size	block_entropy_bits	conditional_entropy_bits	abramov_cbe_bits_per_second	mean_event_interval_seconds	sample_count
1	1	3.31566961957	3.31566961957	0.349856059757	9.47723935915	1055
1	2	6.26801403867	2.9523444191	0.311519452788	9.47723935915	1054
1	3	8.25687618571	1.98886214704	0.209856696837	9.47723935915	1053
1	4	9.31453211334	1.05765592763	0.111599579535	9.47723935915	1052
1	5	9.77627545892	0.461743345582	0.0487212919379	9.47723935915	1051
1	6	9.96200760971	0.185732150792	0.0195977060147	9.47723935915	1050
1	7	10.0214529187	0.0594453090112	0.00627242879054	9.47723935915	1049
1	8	10.0276978107	0.00624489197193	0.000658935765498	9.47723935915	1048
2	1	3.36873395712	3.36873395712	0.351279468286	9.58989710832	1043
2	2	6.31573826381	2.94700430668	0.307303016226	9.58989710832	1042
2	3	8.33321625333	2.01747798952	0.210375353013	9.58989710832	1041
2	4	9.37825122732	1.04503497399	0.108972490756	9.58989710832	1040
2	5	9.80874051452	0.430489287206	0.0448898754953	9.58989710832	1039
2	6	9.95575193982	0.147011425293	0.0153298230036	9.58989710832	1038
2	7	10.000842416	0.0450904762198	0.0047018727845	9.58989710832	1037
2	8	10.00908628	0.00824386392877	0.000859640498293	9.58989710832	1036
3	1	3.30379499988	3.30379499988	0.348849500565	9.47054530544	1056
3	2	6.19034676004	2.88655176015	0.304792561258	9.47054530544	1055
3	3	8.18573729981	1.99539053977	0.210694366102	9.47054530544	1054
3	4	9.32782066586	1.14208336605	0.120593200203	9.47054530544	1053
3	5	9.80846012236	0.480639456501	0.0507509801178	9.47054530544	1052
3	6	9.97331310524	0.164852982881	0.0174069156067	9.47054530544	1051
3	7	10.016873934	0.0435608287334	0.00459961146149	9.47054530544	1050
3	8	10.0309858072	0.0141118732151	0.00149008032378	9.47054530544	1049
4	1	3.2331137431	3.2331137431	0.341522950411	9.4667539596	1057
4	2	6.07193694392	2.83882320082	0.299872925074	9.4667539596	1056
4	3	8.00595333114	1.93401638721	0.204295621865	9.4667539596	1055
4	4	9.09831860968	1.09236527855	0.115389634421	9.4667539596	1054
4	5	9.60649065244	0.508172042756	0.0536796503769	9.4667539596	1053
4	6	9.86489364475	0.258402992313	0.02729583904	9.4667539596	1052
4	7	9.96878894967	0.103895304923	0.0109747549547	9.4667539596	1051
4	8	10.0137833506	0.0449944009703	0.0047528858532	9.4667539596	1050
5	1	3.31453339601	3.31453339601	0.350239936135	9.46360781293	1056
5	2	6.25908746647	2.94455407046	0.311144980716	9.46360781293	1055
5	3	8.26904501553	2.00995754906	0.212388085896	9.46360781293	1054
5	4	9.37524464998	1.10619963445	0.116889843315	9.46360781293	1053
5	5	9.81418809912	0.438943449143	0.0463822527117	9.46360781293	1052
5	6	9.97830369753	0.164115598414	0.0173417582024	9.46360781293	1051
5	7	10.0202165768	0.0419128793037	0.00442884786988	9.46360781293	1050
5	8	10.0328923849	0.0126758080468	0.00133942660108	9.46360781293	1049
6	1	3.32098449353	3.32098449353	0.345173103552	9.62121457135	1040
6	2	6.23880553258	2.91782103904	0.303269511079	9.62121457135	1039
6	3	8.18016355712	1.94135802455	0.201778892899	9.62121457135	1038
6	4	9.17263548385	0.992471926722	0.103154536193	9.62121457135	1037
6	5	9.63113584993	0.458500366085	0.0476551440242	9.62121457135	1036
6	6	9.8457871418	0.214651291874	0.0223102073322	9.62121457135	1035
6	7	9.94654035667	0.100753214864	0.0104719850198	9.62121457135	1034
6	8	9.98139059646	0.0348502397899	0.00362222872502	9.62121457135	1033
7	1	3.33471387362	3.33471387362	0.351238093098	9.49416916657	1053
7	2	6.24600587844	2.91129200482	0.306639997007	9.49416916657	1052
7	3	8.22091286175	1.97490698331	0.208012617919	9.49416916657	1051
7	4	9.28302233679	1.06210947504	0.111869659831	9.49416916657	1050
7	5	9.74798086195	0.464958525168	0.0489730609398	9.49416916657	1049
7	6	9.92435452585	0.176373663893	0.0185770509034	9.49416916657	1048
7	7	9.99766177278	0.0733072469294	0.00772129142036	9.49416916657	1047
7	8	10.0249309986	0.0272692258033	0.0028722077019	9.49416916657	1046
8	1	3.32198318399	3.32198318399	0.351535770511	9.44991509443	1059
8	2	6.23208674633	2.91010356235	0.307950233761	9.44991509443	1058
8	3	8.18900017151	1.95691342518	0.207082646312	9.44991509443	1057
8	4	9.28114024276	1.09214007125	0.115571416287	9.44991509443	1056
8	5	9.75741079332	0.476270550557	0.0503994528837	9.44991509443	1055
8	6	9.92957284662	0.1721620533	0.0182183703854	9.44991509443	1054
8	7	9.99137255578	0.0617997091586	0.00653971052026	9.44991509443	1053
8	8	10.0184724351	0.0270998793264	0.00286773786384	9.44991509443	1052
9	1	3.45553173299	3.45553173299	0.357931660699	9.65416617865	1035
9	2	6.45960288151	3.00407114852	0.311168369482	9.65416617865	1034
9	3	8.46097262498	2.00136974347	0.207306328318	9.65416617865	1033
9	4	9.45978354606	0.998810921081	0.103459056183	9.65416617865	1032
9	5	9.84005866734	0.38027512128	0.0393897426503	9.65416617865	1031
9	6	9.96739496915	0.12733630181	0.0131897772892	9.65416617865	1030
9	7	9.99342182472	0.0260268555657	0.00269591957338	9.65416617865	1029
9	8	10.0036790239	0.0102571991848	0.00106246349969	9.65416617865	1028
10	1	3.32801026259	3.32801026259	0.353134519708	9.42419977903	1061
10	2	6.25200337664	2.92399311404	0.310264338894	9.42419977903	1060
10	3	8.17458874795	1.92258537132	0.204005158676	9.42419977903	1059
10	4	9.20260148951	1.02801274156	0.109082231453	9.42419977903	1058
10	5	9.69156737586	0.488965886354	0.0518840748094	9.42419977903	1057
10	6	9.90748358206	0.2159162062	0.0229108265171	9.42419977903	1056
10	7	9.99016051818	0.0826769361198	0.00877283356236	9.42419977903	1055
10	8	10.0257626739	0.0356021557496	0.00377773780102	9.42419977903	1054
