delta_x	delta_ca	lyap_dim	lambda1	lambda2	lambda3	lambda4	lambda5	lambda6	integrated_time	transient_time	converged	checks	spectrum_delta_last	dimension_delta_last	runtime_seconds	status	error
-1.500000000	-27.412060302	0	-5.32895979205e-05	-5.60885863331e-05	-0.00209626060522	-0.00970603393634	-0.0142315703022	NaN	100062.749748	5000.000000	true	20	0.000109974884919	0	3.390565	ok	none
-1.494974874	-27.412060302	0	-4.33477795673e-05	-6.06859489304e-05	-0.00208853189141	-0.00963920608869	-0.0142318096419	NaN	100066.787332	5000.000000	true	20	0.000109492749076	0	0.181198	ok	none
-1.489949749	-27.412060302	0	-1.21897635972e-05	-8.64572180157e-05	-0.00211805159259	-0.00960874479658	-0.0142144625618	NaN	100075.765251	5000.000000	true	20	0.000110943934199	0	0.212292	ok	none
-1.484924623	-27.412060302	0	-3.19988742477e-05	-6.12091713537e-05	-0.00220650217675	-0.00960316113134	-0.0141957613783	NaN	100050.981670	5000.000000	false	20	0.000115496756885	0	0.182741	ok	none
-1.479899497	-27.412060302	0	-3.55770537233e-05	-5.21372437587e-05	-0.00239554180401	-0.00964755441862	-0.014186782008	NaN	100063.430961	5000.000000	false	20	0.000125209088115	0	0.201586	ok	none
-1.474874372	-27.412060302	0	-3.69324582062e-05	-4.5172423855e-05	-0.00270210721345	-0.00975581001991	-0.0142083215992	NaN	100028.529325	5000.000000	false	20	0.000140972572807	0	0.254367	ok	none
-1.469849246	-27.412060302	0	-3.56021556741e-05	-4.07765167162e-05	-0.00310313782663	-0.00990548576015	-0.0143321700825	NaN	100085.291435	5000.000000	false	20	0.000164665533156	0	0.211183	ok	none
-1.464824121	-27.412060302	0	-3.4186759025e-05	-3.62739260741e-05	-0.00366211140304	-0.0101643427636	-0.0144991041713	NaN	100088.596381	5000.000000	false	20	0.000192984207683	0	0.176925	ok	none
-1.459798995	-27.412060302	0	-3.1798154647e-05	-3.2444670254e-05	-0.00439512984576	-0.0104156709015	-0.0148766098503	NaN	100069.263082	5000.000000	false	20	0.000228483819285	0	0.189636	ok	none
-1.454773869	-27.412060302	0	-2.68673316099e-05	-3.0557674273e-05	-0.0052716789554	-0.0108168930455	-0.0154484658568	NaN	100039.266202	5000.000000	false	20	0.000260381239107	0	0.182789	ok	none
-1.449748744	-27.412060302	0	-2.15981133511e-05	-2.8070249203e-05	-0.00637307966883	-0.0113617700133	-0.0163041966712	NaN	100024.264101	5000.000000	false	20	0.000299463526075	0	0.380086	ok	none
-1.444723618	-27.412060302	0	-1.53413663061e-05	-2.47277078866e-05	-0.00772188636145	-0.0120582110024	-0.0177471951682	NaN	100084.609674	5000.000000	false	20	0.000308540357499	0	0.212807	ok	none
-1.439698492	-27.412060302	0	-4.97871256719e-06	-1.94914046308e-05	-0.00921603251917	-0.013276022138	-0.0204559841394	NaN	100058.002476	5000.000000	false	20	0.000323137367531	1.06516731193	0.226644	ok	none
-1.434673367	-27.412060302	2.00183250516	4.00067733431e-05	-2.32537595212e-05	-0.00914213733634	-0.0131472069125	-0.0210215698709	NaN	100064.085120	5000.000000	false	20	0.000352961498753	0.000403797393306	0.345378	ok	none
-1.429648241	-27.412060302	2.00146843741	1.61059761287e-05	-2.38621448988e-06	-0.00934310278073	-0.0143676751584	-0.0239186572405	NaN	100039.266053	5000.000000	false	20	0.000317973791559	0.000454725294963	0.251478	ok	none
-1.424623116	-27.412060302	2.01229951117	0.000138160538496	-2.35602309374e-05	-0.00931746847327	-0.0144100676968	-0.028325391667	NaN	55054.326817	5000.000000	true	11	3.7198342332e-05	0.00182515810378	0.221791	ok	none
-1.419597990	-27.412060302	2.0013966449	5.46097248225e-05	-4.15143762637e-05	-0.00937629071118	-0.0144565014159	-0.0265600756164	NaN	100054.674854	5000.000000	false	20	0.000370263438232	0.000358487510923	0.339281	ok	none
-1.414572864	-27.412060302	2.00589302731	7.7889229492e-05	-2.29340422102e-05	-0.0093254594645	-0.0144557439441	-0.025683806552	NaN	100069.786531	5000.000000	false	20	0.000421736460444	0.000619787812805	0.367105	ok	none
-1.409547739	-27.412060302	2.02026820677	0.000186623021953	1.80946013779e-06	-0.00929694887108	-0.0145312978374	-0.0301770346072	NaN	90035.365555	5000.000000	true	18	0.000256237401448	0.000304501821443	0.457150	ok	none
-1.404522613	-27.412060302	2.02289540298	0.0002041513103	9.80932607094e-06	-0.00934513520119	-0.0145615122907	-0.0306670020755	NaN	90008.627775	5000.000000	true	18	2.33246868819e-05	0.000959626592069	0.439306	ok	none
-1.399497487	-27.412060302	2.01123723231	9.92429455858e-05	5.01140443906e-06	-0.00927758251481	-0.0144437598661	-0.0268366010785	NaN	100011.345226	5000.000000	false	20	0.000344611335747	0.000557345886161	0.351521	ok	none
-1.394472362	-27.412060302	2.00978447827	9.24437462288e-05	-1.55229192537e-06	-0.00928935113387	-0.0144407480224	-0.0281867313289	NaN	75038.748187	5000.000000	true	15	5.64726659782e-05	0.00102402593014	0.260024	ok	none
-1.389447236	-27.412060302	2.00639581349	3.57816094401e-05	2.35782732299e-05	-0.00928105279776	-0.0144182782112	-0.026161920398	NaN	70035.411275	5000.000000	true	14	0.000212631921599	0.000124578893248	0.221337	ok	none
-1.384422111	-27.412060302	2.02186163885	0.000189548607056	1.48021874522e-05	-0.00934745999018	-0.0145377629544	-0.0302235386545	NaN	90031.085981	5000.000000	true	18	0.000168586789432	0.00171436349692	0.415295	ok	none
-1.379396985	-27.412060302	2.01419762251	0.00013718477057	-6.12351591152e-06	-0.00923121139353	-0.014452665081	-0.0272870567755	NaN	75017.262594	5000.000000	true	15	0.000260992145183	0.000617196720474	0.283036	ok	none
-1.374371859	-27.412060302	2.01078532517	0.00010962660045	-9.99060179018e-06	-0.00923810799401	-0.0144375091845	-0.0269991055427	NaN	75051.956807	5000.000000	true	15	0.000163070936207	0.000325542355907	0.242060	ok	none
