category_id	count	encoding	sequence
185	1	4071229	1,0,2,-2
186	11	4200649	1,-16,-1,-2
187	2	4279273	1,2,-4,1
188	1	4288055	-1,0,-2,1,0
189	22	4290983	1,0,-2,1,0
190	8	4513508	1,1,2,-2
191	5	4519519	1,0,1,-1,-1
192	2	4661929	1,-16,-5
193	1	4726273	1,5,-6
194	2	4738579	1,3,-4,1
195	5	4747819	1,-2,2,-2
196	7	4753984	1,-1,1,-1,-1
197	2	4757068	1,0,-1,0,0,0
198	1	4962823	1,-7,-1,-1,-1
199	2	5003864	1,0,0,2
200	9	5153653	1,-17,-5
201	3	5160076	1,-16,-4,-1
202	1	5686877	-1,-17,-4,-1
203	10	5690249	1,-17,-4,-1
204	2	5696998	1,-16,-3,1
205	3	5791904	1,-2,0,2
206	1	6081326	1,1,-6,0
207	1	6088303	1,0,-5,0,0
208	2	6267568	1,-17,-3,1
209	1	6288829	1,-14,5
210	3	6384949	1,0,4,1
211	1	6688651	1,-1,4,1
212	2	6688652	-1,0,-4,-1,0
213	2	7003151	1,1,4,1
214	1	7006894	1,-1,-4,-1,0
215	1	7259953	1,-11,-1,-1,-1
216	1	7317223	1,3,-6,0
217	2	7332533	1,1,-4,-1,0
218	3	7560214	1,-16,5
219	2	7649914	1,4,6
220	4	7677320	-1,0,2,1,0
221	12	7681238	1,0,2,1,0
222	1	7942103	1,-12,-1,-1,-1
223	1	8018008	1,2,-4,-1,0
224	2	8026019	1,1,-3,-2
225	1	8034034	1,0,-2,-1,-1
226	3	8264143	1,-17,5
227	1	8357914	1,5,6
228	1	8378369	1,-3,-4,-1,0
229	1	8394751	1,-1,-2,-1,-1
230	1	8638244	1,-17,-5,0
231	1	8734108	1,5,-6,0
232	2	8759203	1,2,-3,-2
233	3	8767576	1,1,-2,-1,-1
234	3	9114313	1,6,6
235	1	9152779	1,-2,-2,-1,-1
236	1	9161339	-1,0,0,-2,0
237	7	9165619	1,0,0,-2,0
238	2	9441683	1,-15,-2,-2
239	7	9563749	1,-1,0,-2,0
240	1	9983744	1,0,6,0
241	7	10271776	1,-16,-2,-2
242	1	10298989	1,-13,-5,-1
243	4	11151002	-1,-17,-2,-2
244	5	11155724	1,-17,-2,-2
245	9	11165173	1,-16,-1,-1,-1
246	1	11231428	1,-9,6
247	1	11302633	1,1,-6,-1
248	1	11749126	1,-4,-1,2
249	1	11768524	1,-2,-6,-1
250	9	11778230	-1,0,4,-1,0
251	1	12100739	-1,-17,-1,-1,-1
252	2	12115501	1,-16,-6
253	1	12125348	1,-15,-5,-1
254	1	12258674	1,1,-5,1
255	3	12268579	1,0,-4,0,-1
256	1	12703318	1,-7,-3,-2
