delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.44974874	-45.00000000	-43.88226145	0.8934426554	full	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	50.72228949,3365.641995,5732.609681,7962.384477,10139.75917,12294.29635,14438.37104,16577.54763	4203.878147,5198.468185,6385.112596,7754.847679,9324.253444,11082.27542,12991.06261,15001.79242	0.9922600493,0.921692551,0.9167931961,0.91796111,0.9185920832,0.9189102398,0.9190658514,0.9191408883	-0.9320276167,-0.6714084776,-0.9057937852,-0.9766446422,-0.953005245,-0.9334462695,-0.9250819633,-0.9217534732	ok
-1.44472362	-45.00000000	-40.91067083	0.8980399679	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2034.150876,4434.283406,6682.512706,8874.510839,11042.38883,13199.34668,15351.24561,17500.77636	4212.327245,5183.6165,6349.579513,7696.392676,9245.20494,10989.26158,12892.87847,14906.17238	0.9149766171,0.9167031324,0.917892925,0.9185345288,0.9188557254,0.919011616,0.9190861151,0.9191215548	-0.932543898,-0.635427482,-0.8782002154,-0.9764567152,-0.9562792432,-0.9348221934,-0.925502538,-0.9218547561	ok
-1.43969849	-45.00000000	-41.66542473	0.8967907443	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2200.858322,4588.29772,6839.673229,9040.004833,11218.47014,13387.09561,15551.19896,17713.20446	4998.073406,6415.501623,8044.381939,9861.888666,11823.72802,13878.69508,15986.21824,18120.91113	0.9155349362,0.9168954874,0.9179857232,0.9185609067,0.9188442011,0.9189799434,0.9190441994,0.9190744016	-0.9248875723,-0.973498468,-0.9464277604,-0.9300523521,-0.9235462002,-0.9210082991,-0.9199537986,-0.9194911609	ok
-1.43467337	-45.00000000	-42.11421739	0.8953348696	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2343.592993,4734.98385,6995.137425,9206.207623,11396.39572,13577.26663,15753.89509,17928.57436	4996.750861,6390.370667,7999.547375,9804.94888,11763.78715,13823.09859,15939.44428,18085.23024	0.9206995722,0.9169865163,0.9180215316,0.9185593019,0.9188208113,0.9189446899,0.9190026698,0.9190295419	-0.9253229291,-0.9756745251,-0.9492400874,-0.9310666375,-0.9238340106,-0.921068322,-0.919941417,-0.9194545852	ok
-1.42964824	-45.00000000	-42.45044652	0.8937512775	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2470.319085,4868.757201,7138.815328,9361.15782,11563.36499,13756.66953,15945.95991,18133.42457	4995.755482,6365.338673,7954.049513,9746.211815,11701.06297,13764.14987,15889.09661,18045.94171	0.9221725545,0.9170582178,0.9180474416,0.9185540536,0.9187977325,0.9189116061,0.9189641906,0.918988592	-0.9257637152,-0.9766848128,-0.9523045684,-0.9322139592,-0.9241604943,-0.9211407275,-0.9199350718,-0.9194225322	ok
-1.42462312	-45.00000000	-42.73041371	0.8922954028	continued:5	-1,-1,-1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	2595.548981,5001.759359,7282.043008,9515.856036,11730.22797,13936.08574,16138.14299,18338.48964	4252.824584,6206.359325,7453.596455,8904.343543,10571.97429,12435.84237,14446.57343,16549.03654	-0.9068865157,-0.917125695,-0.918072017,-0.918549791,-0.9187766081,-0.9188815219,-0.9189294665,-0.9189512888	-0.9347112451,-0.7184794857,-0.9428492431,-0.9714682904,-0.9433218105,-0.928237537,-0.9226030883,-0.9204848956	ok
-1.41959799	-45.00000000	-42.97614370	0.8909184617	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2714.829311,5129.042094,7419.704974,9665.118197,11891.7702,14110.28637,16325.20825,18538.5295	4264.909101,6170.200692,7391.040527,8813.314621,10456.04604,12304.02218,14309.7516,16415.84058	0.9194260922,0.9171920207,0.9180968843,0.918547204,0.9187580027,0.9188544216,0.918898038,0.9189176434	-0.9352815199,-0.6716385957,-0.920047347,-0.9746781783,-0.9465091473,-0.9293288647,-0.9229168235,-0.9205625356	ok
-1.41457286	-45.00000000	-43.19962079	0.8896692381	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2831.427073,5253.755732,7554.912734,9812.038859,12051.07806,14282.35321,16510.23502,18736.62224	4277.917458,6133.630443,7327.909013,8720.170855,10335.45682,12164.61829,14162.99911,16271.3402	0.9170034034,0.9172579721,0.9181225446,0.9185463871,0.9187422113,0.9188308084,0.9188703037,0.9188878709	-0.9358644957,-0.6263144848,-0.8890040628,-0.9765214314,-0.9502632008,-0.930675086,-0.9233076409,-0.9206658057	ok
-1.40954774	-45.00000000	-43.40714677	0.8886266657	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	2952.743206,5383.284253,7695.045243,9963.995231,12215.52833,14459.66267,16700.5987,18940.14201	4995.365987,6266.606737,7766.071896,9493.011269,11420.19451,13491.06468,15647.29412,17847.64673	0.9179143475,0.9173236537,0.9181488578,0.9185473212,0.9187291442,0.9188100174,0.9188457878,0.9188614801	-0.9275863975,-0.957242791,-0.9665081516,-0.9386074935,-0.926001627,-0.9215888447,-0.9199780137,-0.9193408519	ok
-1.40452261	-45.00000000	-43.60147180	0.8877118106	continued:5	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	3071.205477,5510.041073,7832.510886,10113.39427,12377.52589,14634.61868,16888.70304,19141.49191	4996.260233,6242.373542,7717.77685,9425.13968,11341.961,13412.44675,15575.42281,17786.34144	0.9186271595,0.9173892065,0.9181760781,0.9185500999,0.918718654,0.9187927262,0.9188250024,0.9188389989	-0.9280584066,-0.9428281098,-0.9700797205,-0.9408055439,-0.9266486261,-0.9217527479,-0.9200086097,-0.9193325806	ok
