delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-42.22222222	-44.33765019	0.8574954269	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	739.8751091,1203.307855,2331.948679,3126.97802,4499.583065,5757.888355,7392.646748,9043.030708	640.5763166,4688.803976,5234.62094,5754.68918,6331.915241,6989.347583,7752.638446,8660.917695	0.9852326064,0.9195339872,0.9855455223,0.947506652,0.9860217625,0.9238083385,0.9863427046,0.9218321689	5.527232039e-18,8.112526523e-15,4.903516505e-14,1.31134007e-13,2.220033965e-13,3.372715993e-13,4.787143023e-13,6.454785845e-13	ok
-1.38888889	-42.22222222	-44.91083241	0.8547020780	continued:5	1,1,1,1,1,-1,-1,1	-1,1,1,1,1,1,1,1	986.9160277,1611.183848,2994.293426,4224.879615,6027.946896,7941.627136,9877.977648,11937.18996	6361.667396,6768.865096,7061.317017,7360.181598,7677.995959,8019.437729,8388.714174,8790.932335	0.98498634,0.9766775486,0.9856100478,0.9260270258,0.9861246618,-0.9237830868,-0.9862064067,0.9233814713	-6.216620889e-14,1.26655067e-13,2.450339388e-13,3.678831169e-13,5.083568932e-13,6.803846816e-13,8.915204552e-13,1.130280115e-12	ok
-1.27777778	-42.22222222	-45.36138023	0.8519087291	continued:5	1,1,1,1,-1,-1,1,1	-1,1,1,1,1,1,1,1	27.60544475,1304.914891,2237.010563,4059.939721,6099.004387,8205.974879,10561.63222,12489.11641	6055.543976,6430.605927,6684.953125,6940.755202,7209.227905,7494.210325,7798.513403,8125.210914	0.9617337132,0.9849492491,0.9391716297,0.9857406775,-0.9258068635,-0.9859949318,0.9264966973,0.9858395773	-3.030336726e-14,1.467981987e-13,2.439615348e-13,3.383786664e-13,4.443775087e-13,5.845465134e-13,7.269038496e-13,9.154253e-13	ok
-1.16666667	-42.22222222	-45.70067629	0.8491153803	full	1,1,1,1,-1,-1,1,1	-1,1,1,1,1,1,1,1	88.51928775,1673.914378,3334.112066,5822.116958,8631.556664,10273.73372,12082.22645,14552.12174	5805.630159,6179.304251,6428.398121,6678.55356,6940.805132,7219.006856,7515.966828,7834.734068	0.9678881165,0.9849987985,0.9292077043,0.9851099316,-0.9298256598,-0.984864901,0.9174379289,0.9842495718	-3.114772241e-14,1.444122761e-13,2.319281504e-13,3.223553209e-13,4.323504401e-13,5.606283696e-13,6.985357323e-13,8.894377762e-13	ok
-1.05555556	-42.22222222	-42.88639044	0.7718464407	continued:5	1,1,1,1,1,1,-1,-1	-1,1,1,1,1,1,1,1	278.1578055,1059.414897,2085.704358,3609.777274,4477.5925,6872.111327,9854.425813,11443.2333	5650.690789,6025.112544,6271.07071,6517.945617,6776.661195,7051.127107,7344.214311,7659.042752	0.9869502342,0.983656229,0.9832549978,0.9840348067,0.9540805316,0.9853951397,-0.9324797989,-0.9845008623	-6.009051309e-15,1.501751633e-13,2.396176901e-13,3.330850091e-13,4.372179154e-13,5.615501534e-13,7.012747206e-13,8.682715291e-13	ok
-0.94444444	-42.22222222	-44.36085788	0.7690530919	continued:5	1,1,1,1,1,-1,-1,1	-1,1,1,1,1,1,1,1	435.5351208,1328.023723,2599.277467,3016.973027,5136.615533,8160.250722,9925.363835,12364.11774	5547.924706,5923.729025,6167.223121,6411.574753,6667.601477,6939.279941,7229.56458,7541.675961	0.9830522438,0.9827927367,0.9832020845,0.4734841026,0.9846619439,-0.933146031,-0.9842381535,0.9305052712	-1.823625281e-15,1.595351867e-13,2.509698261e-13,3.461173276e-13,4.428939479e-13,5.660229505e-13,7.070559183e-13,8.812880157e-13	ok
-0.83333333	-42.22222222	-45.40954883	0.7662597430	continued:5	1,1,1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	615.301528,1648.020127,3396.322797,5746.27099,14980.50249,15745.91492,16484.39752,17456.58238	5478.168331,5855.630108,6096.990177,6339.200936,6592.957243,6862.308027,7150.302424,7460.277032	0.9812246746,0.9823385513,0.9835298782,-0.9311415585,-0.9421995953,-0.9741869617,-0.9784164284,-0.9787345686	3.356530248e-14,1.673488628e-13,2.543171841e-13,3.390946632e-13,4.46085178e-13,5.687595515e-13,7.122298558e-13,8.985108888e-13	ok
-0.72222222	-42.22222222	-46.20646455	0.7690530919	continued:5	1,1,1,1,1,1,-1,-1	1,1,1,1,1,1,1,1	887.7283379,2304.824643,3324.85808,12033.1664,13237.02711,15310.50194,19007.99216,20414.57004	5431.154002,5810.414587,6049.845178,6290.164254,6541.914782,6809.221965,7095.238288,7403.427253	0.9810059449,0.9825724947,0.9581248594,0.9398071296,0.9815245105,0.98345589,-0.9380213216,-0.9822806089	4.075939822e-14,1.717910106e-13,2.600433356e-13,3.45753458e-13,4.471554113e-13,5.683907095e-13,7.150329774e-13,8.890740435e-13	ok
-0.61111111	-42.22222222	-46.75003605	0.7662597430	continued:5	1,1,-1,-1,-1,-1,1,1	1,1,1,1,1,1,1,1	1156.916785,3151.52434,7645.337076,8577.132026,9542.950328,11305.09554,15355.32007,16757.05871	5400.690464,5781.827703,6019.47449,6258.093765,6508.034806,6773.503646,7057.764467,7364.417046	0.9809067813,0.9829868647,-0.943442012,-0.9780959745,-0.9805097597,-0.9823546371,0.939075828,0.9815353209	1.425574273e-14,1.736205456e-13,2.578196097e-13,3.457230696e-13,4.551846179e-13,5.732659078e-13,7.234295659e-13,9.034284127e-13	ok
-0.50000000	-42.22222222	-47.13728157	0.7690530919	full	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	54.84043781,1655.00166,7543.730101,19355.93582,19777.39323,20038.18196,20302.68575,20583.50021	5382.736729,5765.791626,6001.766929,6238.85217,6487.14569,6750.940776,7033.622505,7338.936039	0.9886853263,0.981312034,0.6598454398,0.885298301,0.8807171695,0.9117993545,0.9156366863,0.9145125334	3.760201554e-14,1.744358656e-13,2.692044028e-13,3.537922179e-13,4.549531919e-13,5.707024251e-13,7.245369343e-13,9.083193587e-13	ok
