delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.44974874	-45.00000000	-43.88226145	0.8934426554	full	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	50.72228779,1543.705968,3365.642024,4459.828934,5732.609982,6783.381843,7962.385309,8997.126411	923.489103,4203.878897,4906.076236,5198.468953,5967.046121,6385.113468,7196.745338,7754.84876	0.9922600519,0.9865272903,0.7350369216,0.7838985797,0.4485910252,0.4743959874,0.241591021,0.2538256797	2.410555002e-17,2.4677002e-15,7.933339865e-15,6.417308925e-15,1.225779261e-14,1.138488984e-14,1.873584459e-14,1.734903082e-14	ok
-1.44472362	-45.00000000	-40.91067083	0.8980399679	continued:5	1,1,1,1,1,1,1,1	1,-1,1,1,1,1,1,1	270.4466041,2034.150952,3140.798785,4434.28414,5492.46095,6682.513798,7723.410585,8874.512226	918.5582866,4212.327977,4909.493637,5183.61726,5950.013994,6349.580375,7157.110914,7696.393716	0.993069076,0.9147049887,0.9857078578,0.915084142,0.9841006065,0.9109795664,0.9781418418,0.8925372585	2.366759255e-17,-1.25650279e-15,5.223986032e-15,4.990028344e-15,1.154957461e-14,1.075575194e-14,1.852089005e-14,1.223466978e-14	ok
-1.43969849	-45.00000000	-41.66542473	0.8967907443	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	404.7171516,2200.858294,3304.960113,4588.297739,5649.133303,6839.673633,7884.811244,9040.00574	4998.073667,5821.456024,6415.501802,7298.291781,8044.38213,8978.653189,9861.889166,10836.76285	0.9900145682,0.913145623,0.983352481,0.9032158669,0.970661124,0.8624416633,0.9240179983,0.7436988947	7.271102091e-15,8.942804804e-15,5.382285292e-15,7.600810353e-15,1.89489264e-15,6.980193798e-15,3.593222217e-15,6.368958561e-15	ok
-1.43467337	-45.00000000	-42.11421739	0.8953348696	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,-1,1,-1,1	534.7011701,2343.592951,3450.5877,4734.983146,5800.216478,6995.136832,8045.244563,9206.207636	4996.751125,5815.102534,6390.370834,7269.57915,7999.547559,8932.198342,9804.949315,10780.70334	0.9878534095,0.6977086593,0.7455267486,0.397550557,0.4214344947,0.2043837196,0.2155428752,0.103801706	4.686133062e-15,6.324373635e-15,1.93154744e-16,2.587642382e-15,-4.33001147e-15,6.007156863e-16,-3.911462689e-15,2.007712146e-15	ok
-1.42964824	-45.00000000	-42.45044652	0.8937512775	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	661.3858961,2470.319196,3581.205424,4868.757696,5938.732548,7138.815887,8194.053742,9361.158614	4995.755702,5808.974777,6365.338844,7240.771554,7954.049729,8884.769729,9746.212295,10722.56218	0.9869377219,0.6458337715,0.6897380651,0.3437509621,0.364562152,0.1716879277,0.1812751428,0.08594640592	5.018267899e-15,7.357247948e-15,1.186940876e-15,3.541780163e-15,3.36245116e-16,3.730279957e-15,2.803798481e-15,5.221786597e-15	ok
-1.42462312	-45.00000000	-42.73041371	0.8922954028	continued:5	1,-1,-1,-1,-1,-1,-1,-1	1,-1,1,1,1,1,1,1	787.4516653,2595.549009,3710.551786,5001.759549,6076.570572,7282.044157,8342.470424,9515.857345	899.5310847,4252.8253,4928.49147,5885.274343,6206.360159,6996.593574,7453.597464,8294.314483	0.9865933709,-0.596279246,-0.6417955614,-0.3036216633,-0.3222248678,-0.148337642,-0.1568132192,-0.07331227753	2.202272145e-17,-4.362510578e-15,3.541724319e-15,9.446698559e-15,7.205508592e-15,1.685266798e-14,1.803098441e-14,2.769796319e-14	ok
-1.41959799	-45.00000000	-42.97614370	0.8909184617	continued:5	1,1,1,1,1,1,1,1	1,-1,1,1,1,1,1,1	910.7484769,2714.829402,3834.012418,5129.042721,6208.73149,7419.705873,8485.356857,9665.118895	894.9401659,4264.909844,4934.832985,5870.219137,6170.20152,6956.335253,7391.041528,8226.063358	0.9864606297,0.8187204806,0.8775734308,0.5692757683,0.6072005005,0.3158378411,0.3348883277,0.1605817945	2.163489809e-17,-1.8814541e-15,3.967434871e-15,1.196873717e-14,1.211899035e-14,2.161011229e-14,2.21846213e-14,3.366372994e-14	ok
-1.41457286	-45.00000000	-43.19962079	0.8896692381	continued:5	1,1,1,1,1,1,1,1	1,-1,1,1,1,1,1,1	1032.150238,2831.427104,3954.815704,5253.75555,6338.352009,7554.912774,8625.819984,9812.038975	890.4125347,4277.91816,4941.938908,5855.749889,6133.631259,6916.194978,7327.909995,8156.908079	0.9863998828,0.9051074137,0.9730610788,0.8498428807,0.9120242734,0.6876134592,0.7342762785,0.4381563913	2.125684419e-17,-6.670510984e-15,2.811367284e-15,1.178399075e-14,1.240474375e-14,2.273861209e-14,2.358350961e-14,3.546995519e-14	ok
-1.40954774	-45.00000000	-43.40714677	0.8886266657	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1155.104384,2952.743214,4080.3576,5383.284531,6472.81655,7695.045417,8771.239396,9963.995789	4995.366245,5787.01773,6266.606881,7125.125366,7766.072043,8685.750633,9493.011671,10468.40031	0.9863668458,0.8914135568,0.9574244301,0.7801969328,0.8363732624,0.5437561055,0.5797002637,0.3029104888	8.88128325e-15,1.069951516e-14,7.299199488e-15,1.051011319e-14,4.921259552e-15,1.059792985e-14,7.936654437e-15,1.083623969e-14	ok
-1.40452261	-45.00000000	-43.60147180	0.8877118106	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1275.954324,3071.205535,4203.060372,5510.040971,6604.534766,7832.510739,8914.021048,10113.39419	4996.260442,5782.253223,6242.373692,7096.259107,7717.77704,8633.821486,9425.140083,10399.31594	0.9863419264,0.8817256647,0.9464337463,0.7366996766,0.7895792582,0.4761186301,0.5077277059,0.2519432844	6.494738463e-15,9.358937544e-15,6.532277569e-15,1.006809999e-14,7.511584706e-15,1.136282709e-14,9.430363384e-15,1.216480049e-14	ok
-1.39949749	-45.00000000	-43.78494061	0.8868758893	continued:5	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	1391.469343,3181.264922,4317.372587,5628.469529,6727.950583,7961.751842,9048.607493,10254.67723	4997.595194,5777.818841,6218.358495,7067.477387,7669.053551,8581.102087,9355.466169,10327.9824	0.9863169945,0.9124151222,0.9809108994,0.8881946085,0.954063994,0.7942735895,0.8511886497,0.5751084357	8.05369143e-15,1.073221914e-14,7.539233742e-15,1.14428469e-14,3.231817777e-15,9.624132059e-15,2.816516832e-15,1.132817127e-14	ok
-1.39447236	-45.00000000	-43.95948961	0.8863743365	continued:5	1,1,-1,-1,-1,-1,-1,-1	1,1,1,1,1,1,1,1	56.20258343,1518.37515,3312.226159,4452.605994,5767.896662,6872.392544,8112.102878,9204.333495	4999.396133,5773.738098,6194.577572,7038.81709,7619.954102,8527.642216,9284.020803,10254.40037	0.9677363228,0.9863019336,-0.9036322537,-0.9743060397,-0.8512711883,-0.9139634793,-0.6777692031,-0.725453589	7.017882124e-15,1.003295722e-14,6.965478799e-15,1.10222629e-14,5.630121488e-15,9.905032546e-15,7.991952657e-15,1.296790718e-14	ok
-1.38944724	-45.00000000	-44.12337473	0.8856661325	full	1,1,1,1,1,1,1,1	1,1,1,1,1,1,1,1	74.89106467,1532.477853,3320.188478,4464.855053,5784.408205,6893.944567,8139.644652,9237.278791	5001.691641,5770.036839,6171.043756,7010.317406,7570.534187,8473.497668,9210.845928,10178.58201	0.9767275654,0.9862775062,0.8404474239,0.9000483964,0.5944972239,0.6378212716,0.3193485167,0.3415604298	7.861247436e-15,1.037142462e-14,7.526995307e-15,1.160664475e-14,6.36944975e-15,1.300021425e-14,8.018855206e-15,1.190814689e-14	ok
