delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_signs	gamma_signs	T_min_times	gamma_min_times	T_tangent_Ca	gamma_tangent_Ca	status
-1.50000000	-42.22222222	-44.33765019	0.8574954269	continued:5	1,1,1,1,1,1,1,1	1,-1,-1,-1,-1,-1,-1,-1	739.8751091,1203.307855,2331.948679,3126.97802,4499.583065,5757.888355,7392.646748,9043.030708	640.5758254,4688.803561,5234.620485,5754.688655,6331.914625,6989.34684,7752.63752,8660.91649	0.9852326064,0.9195339872,0.9855455223,0.947506652,0.9860217625,0.9238083385,0.9863427046,0.9218321689	0.9913131281,-0.8389866949,-0.8573474003,-0.8613008581,-0.8600699674,-0.8583095755,-0.8562056235,-0.8533297863	ok
-1.38888889	-42.22222222	-44.91083241	0.8547020780	continued:5	1,1,1,1,1,-1,-1,1	-1,-1,-1,-1,-1,-1,-1,-1	986.9160277,1611.183848,2994.293426,4224.879615,6027.946896,7941.627136,9877.977648,11937.18996	6361.667226,6768.864916,7061.316834,7360.181412,7677.995769,8019.437533,8388.713972,8790.932126	0.98498634,0.9766775486,0.9856100478,0.9260270258,0.9861246618,-0.9237830868,-0.9862064067,0.9233814713	-0.8752275222,-0.8790998139,-0.8947533164,-0.8948278688,-0.8920972936,-0.8888398288,-0.8853854136,-0.8816659312	ok
-1.27777778	-42.22222222	-45.36138023	0.8519087291	continued:5	1,1,1,1,-1,-1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	27.60544475,1304.914891,2237.010563,4059.939721,6099.004387,8205.974879,10561.63222,12489.11641	6055.543817,6430.605758,6684.952954,6940.755026,7209.227724,7494.210138,7798.513209,8125.210712	0.9617337132,0.9849492491,0.9391716297,0.9857406775,-0.9258068635,-0.9859949318,0.9264966973,0.9858395773	-0.8494329382,-0.8468714353,-0.8691090013,-0.8704718427,-0.8680416172,-0.8648164183,-0.861413831,-0.8579755312	ok
-1.16666667	-42.22222222	-45.70067629	0.8491153803	full	1,1,1,1,-1,-1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	88.51928775,1673.914378,3334.112066,5822.116958,8631.556664,10273.73372,12082.22645,14552.12174	5805.630007,6179.30409,6428.397957,6678.553392,6940.804959,7219.006677,7515.966643,7834.733875	0.9678881165,0.9849987985,0.9292077043,0.9851099316,-0.9298256598,-0.984864901,0.9174379289,0.9842495718	-0.5574494883,-0.5598778856,-0.5659341816,-0.5647512106,-0.5624692276,-0.5602418249,-0.5583370067,-0.5568474723	ok
-1.05555556	-42.22222222	-42.88639044	0.7718464407	continued:5	1,1,1,1,1,1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	278.1578055,1059.414897,2085.704358,3609.777274,4477.5925,6872.111327,9854.425813,11443.2333	5650.690647,6025.11239,6271.070552,6517.945456,6776.661029,7051.126935,7344.214132,7659.042566	0.9869502342,0.983656229,0.9832549978,0.9840348067,0.9540805316,0.9853951397,-0.9324797989,-0.9845008623	-0.2931023004,-0.2968956798,-0.2976781372,-0.2968247376,-0.295867873,-0.2951828807,-0.2948904141,-0.2950637615	ok
-0.94444444	-42.22222222	-44.36085788	0.7690530919	continued:5	1,1,1,1,1,-1,-1,1	-1,-1,-1,-1,-1,-1,-1,-1	435.5351208,1328.023723,2599.277467,3016.973027,5136.615533,8160.250722,9925.363835,12364.11774	5547.924566,5923.728877,6167.222969,6411.574599,6667.601318,6939.279776,7229.564408,7541.675782	0.9830522438,0.9827927367,0.9832020845,0.4734841026,0.9846619439,-0.933146031,-0.9842381535,0.9305052712	-0.1547212099,-0.1574691964,-0.1576368044,-0.1572775413,-0.156951797,-0.1568352488,-0.1569998475,-0.1575016405	ok
-0.83333333	-42.22222222	-45.40954883	0.7662597430	continued:5	1,1,1,-1,-1,-1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	615.301528,1648.020127,3396.322797,5746.27099,14980.50249,15745.91492,16484.39752,17456.58238	5478.168203,5855.629966,6096.990032,6339.200788,6592.957091,6862.307869,7150.30226,7460.27686	0.9812246746,0.9823385513,0.9835298782,-0.9311415585,-0.9421995953,-0.9741869617,-0.9784164284,-0.9787345686	-0.08566234613,-0.08744969296,-0.08756079885,-0.08742792353,-0.08733403366,-0.0873796901,-0.08761175281,-0.08807096074	ok
-0.72222222	-42.22222222	-46.20646455	0.7690530919	continued:5	1,1,1,1,1,1,-1,-1	-1,-1,-1,-1,-1,-1,-1,-1	887.7283379,2304.824643,3324.85808,12033.1664,13237.02711,15310.50194,19007.99216,20414.57004	5431.153876,5810.41445,6049.845038,6290.164112,6541.914635,6809.221813,7095.23813,7403.427088	0.9810059449,0.9825724947,0.9581248594,0.9398071296,0.9815245105,0.98345589,-0.9380213216,-0.9822806089	-0.0493781754,-0.05053051576,-0.05062602957,-0.05058589668,-0.05057521068,-0.05065627427,-0.05086051447,-0.05121710079	ok
-0.61111111	-42.22222222	-46.75003605	0.7662597430	continued:5	1,1,-1,-1,-1,-1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	1156.916785,3151.52434,7645.337076,8577.132026,9542.950328,11305.09554,15355.32007,16757.05871	5400.690336,5781.827571,6019.474355,6258.093628,6508.034665,6773.5035,7057.764316,7364.416888	0.9809067813,0.9829868647,-0.943442012,-0.9780959745,-0.9805097597,-0.9823546371,0.939075828,0.9815353209	-0.02931254494,-0.03006196332,-0.03014011331,-0.03013643074,-0.03015346712,-0.03023124289,-0.03039115112,-0.03065403121	ok
-0.50000000	-42.22222222	-47.13728157	0.7690530919	full	1,1,1,1,1,1,1,1	-1,-1,-1,-1,-1,-1,-1,-1	54.84043781,1655.00166,7543.730101,19355.93582,19777.39323,20038.18196,20302.68575,20583.50021	5382.736607,5765.791498,6001.766799,6238.852037,6487.145554,6750.940636,7033.62236,7338.935888	0.9886853263,0.981312034,0.6598454398,0.885298301,0.8807171695,0.9117993545,0.9156366863,0.9145125334	-0.01777465778,-0.01826707923,-0.01832772919,-0.0183369419,-0.01836051907,-0.01842468576,-0.01854413979,-0.01873378688	ok
