nominal_iterate	earliest_source_cells	black_contoured_cells	black_segments	red_contoured_cells	red_segments
2	6140	0	0	1448	1448
3	10799	3576	3583	3196	3196
4	19945	8568	8605	4062	4067
5	29370	19959	20676	5854	5884
6	55498	32984	34045	13806	13864
7	83115	61299	64242	32034	32193
8	131431	118494	128796	131431	132061
