delta_x	delta_ca	gamma_encoding	gamma_scs	status
-0.748497	-38.236473	1420578229	12,12,12	ok
-0.746493	-38.236473	1420578229	12,12,12	ok
-0.744489	-38.236473	1420578229	12,12,12	ok
-0.742485	-38.236473	1420578229	12,12,12	ok
-0.740481	-38.236473	1420578229	12,12,12	ok
-0.738477	-38.236473	1420578229	12,12,12	ok
-0.736473	-38.236473	1420578229	12,12,12	ok
-0.734469	-38.236473	1420578229	12,12,12	ok
-0.732465	-38.236473	1420578229	12,12,12	ok
-0.730461	-38.236473	1420578229	12,12,12	ok
-0.728457	-38.236473	1420578229	12,12,12	ok
-0.726453	-38.236473	1420578229	12,12,12	ok
-0.724449	-38.236473	1420578229	12,12,12	ok
-0.722445	-38.236473	1420578229	12,12,12	ok
-0.720441	-38.236473	1420578229	12,12,12	ok
-0.718437	-38.236473	1420578229	12,12,12	ok
-0.716433	-38.236473	1420578229	12,12,12	ok
-0.714429	-38.236473	1420578229	12,12,12	ok
-0.712425	-38.236473	1420578229	12,12,12	ok
-0.710421	-38.236473	1420578229	12,12,12	ok
-0.708417	-38.236473	1420578229	12,12,12	ok
-0.706413	-38.236473	1420578229	12,12,12	ok
-0.704409	-38.236473	1420578229	12,12,12	ok
-0.702405	-38.236473	1420578229	12,12,12	ok
-0.700401	-38.236473	1420578229	12,12,12	ok
-0.698397	-38.236473	1420578229	12,12,12	ok
-0.696393	-38.236473	1420578229	12,12,12	ok
-0.694389	-38.236473	1420578229	12,12,12	ok
-0.692385	-38.236473	1420578229	12,12,12	ok
-0.690381	-38.236473	1420578229	12,12,12	ok
-0.688377	-38.236473	1420578229	12,12,12	ok
-0.686373	-38.236473	1420578229	12,12,12	ok
-0.684369	-38.236473	1420578229	12,12,12	ok
-0.682365	-38.236473	1420578229	12,12,12	ok
-0.680361	-38.236473	1420578229	12,12,12	ok
-0.678357	-38.236473	1420578229	12,12,12	ok
-0.676353	-38.236473	1420578229	12,12,12	ok
-0.674349	-38.236473	1420578229	12,12,12	ok
-0.672345	-38.236473	1420578229	12,12,12	ok
-0.670341	-38.236473	1420578229	12,12,12	ok
-0.668337	-38.236473	1420578229	12,12,12	ok
-0.666333	-38.236473	1420578229	12,12,12	ok
-0.664329	-38.236473	1420578229	12,12,12	ok
-0.662325	-38.236473	1420578229	12,12,12	ok
-0.660321	-38.236473	1420578229	12,12,12	ok
-0.658317	-38.236473	1009021288579133361	12,12,12,12	ok
-0.656313	-38.236473	1009021288579133361	12,12,12,12	ok
-0.654309	-38.236473	1009021288579133361	12,12,12,12	ok
-0.652305	-38.236473	1009021288579133361	12,12,12,12	ok
-0.650301	-38.236473	1009021288579133361	12,12,12,12	ok
-0.648297	-38.236473	1009021288579133361	12,12,12,12	ok
-0.646293	-38.236473	1009021288579133361	12,12,12,12	ok
-0.644289	-38.236473	547829316464109792	12,12,12,-12	ok
-0.642285	-38.236473	547829316464109792	12,12,12,-12	ok
-0.640281	-38.236473	533555173525880254	12,12,-12,-12	ok
-0.638277	-38.236473	533555173525880254	12,12,-12,-12	ok
-0.636273	-38.236473	533555173525880254	12,12,-12,-12	ok
-0.634269	-38.236473	533555173525880254	12,12,-12,-12	ok
-0.632265	-38.236473	533555173525880254	12,12,-12,-12	ok
-0.630261	-38.236473	533555173525880254	12,12,-12,-12	ok
-0.628257	-38.236473	533555173525880254	12,12,-12,-12	ok
-0.626253	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.624248	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.622244	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.620240	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.618236	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.616232	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.614228	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.612224	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.610220	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.608216	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.606212	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.604208	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.602204	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.600200	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.598196	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.596192	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.594188	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.592184	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.590180	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.588176	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.586172	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.584168	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.582164	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.580160	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.578156	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.576152	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.574148	-38.236473	533508222173189616	12,-12,-12,-12	ok
-0.572144	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.570140	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.568136	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.566132	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.564128	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.562124	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.560120	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.558116	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.556112	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.554108	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.552104	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.550100	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.548096	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.546092	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.544088	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.542084	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.540080	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.538076	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.536072	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.534068	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.532064	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.530060	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.528056	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.526052	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.524048	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.522044	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.520040	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.518036	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.516032	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.514028	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.512024	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.510020	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.508016	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.506012	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.504008	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.502004	-38.236473	533508221140224737	-12,-12,-12,-12	ok
-0.500000	-38.236473	533508221140224737	-12,-12,-12,-12	ok
