delta_x	delta_ca	gamma_encoding	gamma_scs	status
-1.500000	-38.687375	4532	14,0,0,0,0	ok
-1.497996	-38.687375	4532	14,0,0,0,0	ok
-1.495992	-38.687375	4532	14,0,0,0,0	ok
-1.493988	-38.687375	4532	14,0,0,0,0	ok
-1.491984	-38.687375	4532	14,0,0,0,0	ok
-1.489980	-38.687375	4532	14,0,0,0,0	ok
-1.487976	-38.687375	4532	14,0,0,0,0	ok
-1.485972	-38.687375	4532	14,0,0,0,0	ok
-1.483968	-38.687375	4532	14,0,0,0,0	ok
-1.481964	-38.687375	4532	14,0,0,0,0	ok
-1.479960	-38.687375	4532	14,0,0,0,0	ok
-1.477956	-38.687375	4532	14,0,0,0,0	ok
-1.475952	-38.687375	4532	14,0,0,0,0	ok
-1.473948	-38.687375	4532	14,0,0,0,0	ok
-1.471944	-38.687375	4532	14,0,0,0,0	ok
-1.469940	-38.687375	4532	14,0,0,0,0	ok
-1.467936	-38.687375	4532	14,0,0,0,0	ok
-1.465932	-38.687375	4532	14,0,0,0,0	ok
-1.463928	-38.687375	4532	14,0,0,0,0	ok
-1.461924	-38.687375	4532	14,0,0,0,0	ok
-1.459920	-38.687375	4532	14,0,0,0,0	ok
-1.457916	-38.687375	4532	14,0,0,0,0	ok
-1.455912	-38.687375	4532	14,0,0,0,0	ok
-1.453908	-38.687375	4532	14,0,0,0,0	ok
-1.451904	-38.687375	4532	14,0,0,0,0	ok
-1.449900	-38.687375	4532	14,0,0,0,0	ok
-1.447896	-38.687375	4532	14,0,0,0,0	ok
-1.445892	-38.687375	4532	14,0,0,0,0	ok
-1.443888	-38.687375	4532	14,0,0,0,0	ok
-1.441884	-38.687375	4532	14,0,0,0,0	ok
-1.439880	-38.687375	4532	14,0,0,0,0	ok
-1.437876	-38.687375	4532	14,0,0,0,0	ok
-1.435872	-38.687375	4532	14,0,0,0,0	ok
-1.433868	-38.687375	4532	14,0,0,0,0	ok
-1.431864	-38.687375	4532	14,0,0,0,0	ok
-1.429860	-38.687375	4532	14,0,0,0,0	ok
-1.427856	-38.687375	4532	14,0,0,0,0	ok
-1.425852	-38.687375	4532	14,0,0,0,0	ok
-1.423848	-38.687375	4532	14,0,0,0,0	ok
-1.421844	-38.687375	4532	14,0,0,0,0	ok
-1.419840	-38.687375	4532	14,0,0,0,0	ok
-1.417836	-38.687375	4532	14,0,0,0,0	ok
-1.415832	-38.687375	4532	14,0,0,0,0	ok
-1.413828	-38.687375	4532	14,0,0,0,0	ok
-1.411824	-38.687375	4532	14,0,0,0,0	ok
-1.409820	-38.687375	4532	14,0,0,0,0	ok
-1.407816	-38.687375	4532	14,0,0,0,0	ok
-1.405812	-38.687375	4532	14,0,0,0,0	ok
-1.403808	-38.687375	4532	14,0,0,0,0	ok
-1.401804	-38.687375	4532	14,0,0,0,0	ok
-1.399800	-38.687375	4532	14,0,0,0,0	ok
-1.397796	-38.687375	4532	14,0,0,0,0	ok
-1.395792	-38.687375	4532	14,0,0,0,0	ok
-1.393788	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.391784	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.389780	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.387776	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.385772	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.383768	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.381764	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.379760	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.377756	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.375752	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.373747	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.371743	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.369739	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.367735	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.365731	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.363727	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.361723	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.359719	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.357715	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.355711	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.353707	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.351703	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.349699	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.347695	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.345691	-38.687375	2659944	-14,0,0,0,0,0	ok
-1.343687	-38.687375	2659944	-14,0,0,0,0,0	ok
