delta_x	delta_ca	gamma_encoding	gamma_scs	status
-1.500000	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.497996	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.495992	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.493988	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.491984	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.489980	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.487976	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.485972	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.483968	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.481964	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.479960	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.477956	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.475952	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.473948	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.471944	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.469940	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.467936	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.465932	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.463928	-39.939880	2664557	-15,0,0,0,0,0	ok
-1.461924	-39.939880	4627	-15,0,0,0,0	ok
-1.459920	-39.939880	4627	-15,0,0,0,0	ok
-1.457916	-39.939880	4627	-15,0,0,0,0	ok
-1.455912	-39.939880	4627	-15,0,0,0,0	ok
-1.453908	-39.939880	4627	-15,0,0,0,0	ok
-1.451904	-39.939880	4627	-15,0,0,0,0	ok
-1.449900	-39.939880	4627	-15,0,0,0,0	ok
-1.447896	-39.939880	4627	-15,0,0,0,0	ok
-1.445892	-39.939880	4627	-15,0,0,0,0	ok
-1.443888	-39.939880	4627	-15,0,0,0,0	ok
-1.441884	-39.939880	4627	-15,0,0,0,0	ok
-1.439880	-39.939880	4627	-15,0,0,0,0	ok
-1.437876	-39.939880	4627	-15,0,0,0,0	ok
-1.435872	-39.939880	4627	-15,0,0,0,0	ok
-1.433868	-39.939880	4627	-15,0,0,0,0	ok
-1.431864	-39.939880	4627	-15,0,0,0,0	ok
-1.429860	-39.939880	4627	-15,0,0,0,0	ok
-1.427856	-39.939880	4627	-15,0,0,0,0	ok
-1.425852	-39.939880	4627	-15,0,0,0,0	ok
-1.423848	-39.939880	4627	-15,0,0,0,0	ok
-1.421844	-39.939880	27465137	-15,0,0,-1,0,0	ok
-1.419840	-39.939880	4840687	-15,0,-1,0,0,0	ok
-1.417836	-39.939880	5086426	-15,-1,-1,0,0,0	ok
-1.415832	-39.939880	2821471	-15,-1,0,0,0,0	ok
-1.413828	-39.939880	2821471	-15,-1,0,0,0,0	ok
-1.411824	-39.939880	2821471	-15,-1,0,0,0,0	ok
-1.409820	-39.939880	7111	-15,1,0,0,0	ok
-1.407816	-39.939880	7111	-15,1,0,0,0	ok
-1.405812	-39.939880	10557	14,2,0,0,0	ok
-1.403808	-39.939880	6993	14,1,0,0,0	ok
-1.401804	-39.939880	6993	14,1,0,0,0	ok
-1.399800	-39.939880	6993	14,1,0,0,0	ok
-1.397796	-39.939880	6993	14,1,0,0,0	ok
-1.395792	-39.939880	6993	14,1,0,0,0	ok
-1.393788	-39.939880	6993	14,1,0,0,0	ok
-1.391784	-39.939880	6993	14,1,0,0,0	ok
-1.389780	-39.939880	2819097	14,-1,0,0,0,0	ok
-1.387776	-39.939880	2819097	14,-1,0,0,0,0	ok
-1.385772	-39.939880	2819097	14,-1,0,0,0,0	ok
-1.383768	-39.939880	5643	14,-1,0,0,0	ok
-1.381764	-39.939880	5643	14,-1,0,0,0	ok
-1.379760	-39.939880	5643	14,-1,0,0,0	ok
-1.377756	-39.939880	5643	14,-1,0,0,0	ok
-1.375752	-39.939880	5643	14,-1,0,0,0	ok
-1.373747	-39.939880	5643	14,-1,0,0,0	ok
-1.371743	-39.939880	5643	14,-1,0,0,0	ok
-1.369739	-39.939880	5643	14,-1,0,0,0	ok
-1.367735	-39.939880	5643	14,-1,0,0,0	ok
-1.365731	-39.939880	5643	14,-1,0,0,0	ok
-1.363727	-39.939880	3483161352	14,-1,0,-1,-1,0	ok
-1.361723	-39.939880	668718	14,-1,0,1,0	ok
-1.359719	-39.939880	44949393	14,-1,-1,-1,0,0	ok
-1.357715	-39.939880	5083238	14,-1,-1,0,0,0	ok
-1.355711	-39.939880	5083238	14,-1,-1,0,0,0	ok
-1.353707	-39.939880	33642	14,-1,1,0,0	ok
-1.351703	-39.939880	33642	14,-1,1,0,0	ok
-1.349699	-39.939880	917307	14,-1,3,0,0	ok
-1.347695	-39.939880	174317	14,0,2,0,0	ok
-1.345691	-39.939880	4367462	14,0,-2,1,0	ok
-1.343687	-39.939880	519662	14,0,1,0,-1	ok
-1.341683	-39.939880	28652	14,0,1,0,0	ok
-1.339679	-39.939880	28652	14,0,1,0,0	ok
-1.337675	-39.939880	28652	14,0,1,0,0	ok
-1.335671	-39.939880	28652	14,0,1,0,0	ok
-1.333667	-39.939880	28652	14,0,1,0,0	ok
-1.331663	-39.939880	28652	14,0,1,0,0	ok
-1.329659	-39.939880	28652	14,0,1,0,0	ok
-1.327655	-39.939880	28652	14,0,1,0,0	ok
-1.325651	-39.939880	28652	14,0,1,0,0	ok
-1.323647	-39.939880	4837577	14,0,-1,0,0,0	ok
-1.321643	-39.939880	4837577	14,0,-1,0,0,0	ok
-1.319639	-39.939880	11147	14,0,-1,0,0	ok
-1.317635	-39.939880	11147	14,0,-1,0,0	ok
-1.315631	-39.939880	11147	14,0,-1,0,0	ok
-1.313627	-39.939880	11147	14,0,-1,0,0	ok
-1.311623	-39.939880	11147	14,0,-1,0,0	ok
-1.309619	-39.939880	11147	14,0,-1,0,0	ok
-1.307615	-39.939880	11147	14,0,-1,0,0	ok
-1.305611	-39.939880	11147	14,0,-1,0,0	ok
-1.303607	-39.939880	11147	14,0,-1,0,0	ok
-1.301603	-39.939880	11147	14,0,-1,0,0	ok
-1.299599	-39.939880	11147	14,0,-1,0,0	ok
-1.297595	-39.939880	11147	14,0,-1,0,0	ok
-1.295591	-39.939880	11147	14,0,-1,0,0	ok
-1.293587	-39.939880	11147	14,0,-1,0,0	ok
-1.291583	-39.939880	11147	14,0,-1,0,0	ok
-1.289579	-39.939880	731741612	14,0,-1,0,-1,0	ok
-1.287575	-39.939880	731741612	14,0,-1,0,-1,0	ok
-1.285571	-39.939880	69743927	14,0,-1,0,1	ok
-1.283567	-39.939880	69743927	14,0,-1,0,1	ok
-1.281563	-39.939880	1086986181351844741352	14,0,-1,-1,4	ok
-1.279559	-39.939880	4499162342	14,0,-1,-1,-1,0	ok
-1.277555	-39.939880	94802	14,0,-1,-1,0	ok
-1.275551	-39.939880	43669157	14,0,-1,-1,0,0	ok
-1.273547	-39.939880	43669157	14,0,-1,-1,0,0	ok
-1.271543	-39.939880	1231637	14,0,-1,1,0	ok
-1.269539	-39.939880	1231637	14,0,-1,1,0	ok
-1.267535	-39.939880	1231637	14,0,-1,1,0	ok
-1.265531	-39.939880	26568377	14,0,-1,1,-1	ok
-1.263527	-39.939880	15649187	14,0,-1,-2,0	ok
-1.261523	-39.939880	165156197	14,0,-1,2,0	ok
-1.259519	-39.939880	46396519862	14,0,-1,4	ok
-1.257515	-39.939880	32491323022023302	14,0,0,10	ok
-1.255511	-39.939880	38000420375	14,0,0,4	ok
-1.253507	-39.939880	7661053625	14,0,0,3,0	ok
-1.251503	-39.939880	1034237912	14,0,0,-3,0	ok
-1.249499	-39.939880	1422071087	14,0,0,2,-1	ok
-1.247495	-39.939880	111116750	14,0,0,2,0	ok
-1.245491	-39.939880	111116750	14,0,0,2,0	ok
-1.243487	-39.939880	9277250	14,0,0,-2,0	ok
-1.241483	-39.939880	9277250	14,0,0,-2,0	ok
-1.239479	-39.939880	168645767	14,0,0,-2,-1	ok
-1.237475	-39.939880	13667	14,0,0,1	ok
-1.235471	-39.939880	2594844752	14,0,0,1,1	ok
-1.233467	-39.939880	2594844752	14,0,0,1,1	ok
-1.231463	-39.939880	16247822	14,0,0,1,-1	ok
-1.229459	-39.939880	16247822	14,0,0,1,-1	ok
-1.227455	-39.939880	616577	14,0,0,1,0	ok
-1.225451	-39.939880	616577	14,0,0,1,0	ok
-1.223447	-39.939880	616577	14,0,0,1,0	ok
-1.221443	-39.939880	616577	14,0,0,1,0	ok
-1.219439	-39.939880	616577	14,0,0,1,0	ok
-1.217435	-39.939880	616577	14,0,0,1,0	ok
-1.215431	-39.939880	616577	14,0,0,1,0	ok
-1.213427	-39.939880	616577	14,0,0,1,0	ok
-1.211423	-39.939880	616577	14,0,0,1,0	ok
-1.209419	-39.939880	39875	14,0,0,-1,0	ok
-1.207415	-39.939880	39875	14,0,0,-1,0	ok
-1.205411	-39.939880	39875	14,0,0,-1,0	ok
-1.203407	-39.939880	39875	14,0,0,-1,0	ok
-1.201403	-39.939880	39875	14,0,0,-1,0	ok
-1.199399	-39.939880	39875	14,0,0,-1,0	ok
-1.197395	-39.939880	39875	14,0,0,-1,0	ok
-1.195391	-39.939880	39875	14,0,0,-1,0	ok
-1.193387	-39.939880	1321097	14,0,0,-1,-1	ok
-1.191383	-39.939880	3449274125	14,0,0,-1,-1,0	ok
-1.189379	-39.939880	366054125	14,0,0,-1,1	ok
-1.187375	-39.939880	38435470637000	14,0,0,-1,2	ok
-1.185371	-39.939880	752	14,0,0,0	ok
-1.183367	-39.939880	752	14,0,0,0	ok
-1.181363	-39.939880	752	14,0,0,0	ok
-1.179359	-39.939880	12487855451207	14,0,0,0,2	ok
-1.177355	-39.939880	30799013927	14,0,0,0,-2	ok
-1.175351	-39.939880	44958875	14,0,0,0,1	ok
-1.173347	-39.939880	44958875	14,0,0,0,1	ok
-1.171343	-39.939880	44958875	14,0,0,0,1	ok
-1.169339	-39.939880	44958875	14,0,0,0,1	ok
-1.167335	-39.939880	107852	14,0,0,0,-1	ok
-1.165331	-39.939880	107852	14,0,0,0,-1	ok
-1.163327	-39.939880	107852	14,0,0,0,-1	ok
-1.161323	-39.939880	107852	14,0,0,0,-1	ok
-1.159319	-39.939880	4532	14,0,0,0,0	ok
-1.157315	-39.939880	4532	14,0,0,0,0	ok
-1.155311	-39.939880	4532	14,0,0,0,0	ok
-1.153307	-39.939880	4532	14,0,0,0,0	ok
-1.151303	-39.939880	4532	14,0,0,0,0	ok
-1.149299	-39.939880	4532	14,0,0,0,0	ok
-1.147295	-39.939880	4532	14,0,0,0,0	ok
-1.145291	-39.939880	4532	14,0,0,0,0	ok
-1.143287	-39.939880	4532	14,0,0,0,0	ok
-1.141283	-39.939880	2659944	-14,0,0,0,0,0	ok
-1.139279	-39.939880	2659944	-14,0,0,0,0,0	ok
-1.137275	-39.939880	2659944	-14,0,0,0,0,0	ok
-1.135271	-39.939880	2659944	-14,0,0,0,0,0	ok
-1.133267	-39.939880	4438	-14,0,0,0,0	ok
-1.131263	-39.939880	4540520838	-14,0,0,0,0,-1	ok
-1.129259	-39.939880	4438	-14,0,0,0,0	ok
-1.127255	-39.939880	4438	-14,0,0,0,0	ok
-1.125251	-39.939880	66720935771160139	-14,0,0,0,-1,1	ok
-1.123246	-39.939880	525317464	-14,0,0,0,-1,0	ok
-1.121242	-39.939880	44949394	-14,0,0,0,1	ok
-1.119238	-39.939880	12487850453638	-14,0,0,0,2	ok
-1.117234	-39.939880	9725508503659889511229495963	-14,0,0,0,7	ok
-1.115230	-39.939880	115734947132242592086741194	-14,0,0,-1,6	ok
-1.113226	-39.939880	3449191069	-14,0,0,-1,-1,0	ok
-1.111222	-39.939880	27450318	-14,0,0,-1,0,0	ok
-1.109218	-39.939880	615468	-14,0,0,1,0	ok
-1.107214	-39.939880	2594772714	-14,0,0,1,1	ok
-1.105210	-39.939880	100758522844	-14,0,0,-2,-1,0	ok
-1.103206	-39.939880	788694486817519	-14,0,0,2,2	ok
-1.101202	-39.939880	618349080195813	-14,0,0,4,-2	ok
-1.099198	-39.939880	1948758276405034038	-14,0,0,-13,0	ok
-1.097194	-39.939880	32269406049876587698	-14,0,-1,-14,1	ok
-1.095190	-39.939880	524927682973	-14,0,-1,2,-1,0	ok
-1.093186	-39.939880	43659813	-14,0,-1,-1,0,0	ok
-1.091182	-39.939880	9738976402117459253234338849	-14,0,-1,0,7	ok
-1.089178	-39.939880	241138	-14,0,-1,0,-1	ok
-1.087174	-39.939880	4834468	-14,0,-1,0,0,0	ok
-1.085170	-39.939880	518644	-14,0,1,0,-1	ok
-1.083166	-39.939880	216784	-14,0,1,-1,0	ok
-1.081162	-39.939880	1888266304	-14,0,1,-3,0	ok
-1.079158	-39.939880	2513724033	-14,0,-2,-3,0	ok
-1.077154	-39.939880	71983	-14,0,-2,0,0	ok
-1.075150	-39.939880	7417559073	-14,0,2,1,1	ok
-1.073146	-39.939880	395578	-14,0,-3,0,0	ok
-1.071142	-39.939880	1726984	-14,0,-4,0,0	ok
-1.069138	-39.939880	29295658	-14,0,7,0	ok
-1.067134	-39.939880	4795289319	-14,0,12,-1,0	ok
-1.065130	-39.939880	2649883573	-14,0,13,0	ok
-1.063126	-39.939880	13245978439	-14,0,13,-2	ok
-1.061122	-39.939880	1953718768	-14,0,13	ok
-1.059118	-39.939880	6233475313	-14,-1,13,1	ok
-1.057114	-39.939880	290826876	-14,-1,7,0,-1	ok
-1.055110	-39.939880	37699263591432976	-14,-1,2,10	ok
-1.053106	-39.939880	1993045401339753601	-14,-1,1,13	ok
-1.051102	-39.939880	13339	-14,-1,-1,0,0	ok
-1.049098	-39.939880	30798517551	-14,-1,-1,-1,0,-1	ok
-1.047094	-39.939880	1905335323561872714	-14,-1,0,13	ok
-1.045090	-39.939880	5338251	-14,-1,0,2	ok
-1.043086	-39.939880	24970202574	-14,-1,0,-1,0,-1	ok
-1.041082	-39.939880	20695998319303237683663	-14,-1,0,0,-5	ok
-1.039078	-39.939880	46257744	-14,-1,0,0,1	ok
-1.037074	-39.939880	3483077889	-14,-1,0,-1,-1,0	ok
-1.035070	-39.939880	4276635268476	-14,1,0,5,0	ok
-1.033066	-39.939880	13557430052401533	-14,1,-1,1,-3	ok
-1.031062	-39.939880	266058	-14,1,1,-1,0	ok
-1.029058	-39.939880	721107249	-14,1,2,-2,-1	ok
-1.027054	-39.939880	559033176	-14,1,-11,0	ok
-1.025050	-39.939880	33320065851	-14,1,13,2	ok
-1.023046	-39.939880	1818196106817063429	-14,-2,12,-13	ok
-1.021042	-39.939880	5329	-14,-2,1,0	ok
-1.019038	-39.939880	7846975423	-14,-2,0,3,0	ok
-1.017034	-39.939880	1404	-14,-2,0,0	ok
-1.015030	-39.939880	17828405479856521351	-14,2,-1,0,-4	ok
-1.013026	-39.939880	1585098333	-14,2,-11,1	ok
-1.011022	-39.939880	94098594	-14,-3,6,-1,0	ok
-1.009018	-39.939880	3621132624	-14,-3,0,-1,-1,0	ok
-1.007014	-39.939880	16822873	-14,3,-3,1,0	ok
-1.005010	-39.939880	1906067259227143524	-14,-4,0,13	ok
-1.003006	-39.939880	2136062814	-14,4,13	ok
-1.001002	-39.939880	58626	-14,-6,1,-1	ok
-0.998998	-39.939880	256659	-14,-8,0,-1,0	ok
-0.996994	-39.939880	592389	-14,-11,2,-1	ok
-0.994990	-39.939880	308478	-14,-12,0,1	ok
-0.992986	-39.939880	2565822403	-14,12,-13,0	ok
-0.990982	-39.939880	516313018	-14,-13,2,-3	ok
-0.988978	-39.939880	1908264331557734844	-14,-13,0,13	ok
-0.986974	-39.939880	640119	-14,-13,0,-1,0	ok
-0.984970	-39.939880	1913919	-14,-13,0,-2	ok
-0.982966	-39.939880	83409	-14,13,0	ok
-0.980962	-39.939880	223419	-14,13,-1,-1	ok
-0.978958	-39.939880	1027434	-14,13,1,1	ok
-0.976954	-39.939880	76854541626	-14,13,-2,4	ok
-0.974950	-39.939880	3248462079	-14,13,2,3	ok
-0.972946	-39.939880	27926052588	-14,13,3,-4	ok
-0.970942	-39.939880	9979251	-14,13,-6	ok
-0.968938	-39.939880	785010849	-14,13,11	ok
-0.966934	-39.939880	1952093859	-14,13,-13	ok
-0.964930	-39.939880	2620337001	-14,13,-13,0	ok
-0.962926	-39.939880	2592900051	-14,13,13	ok
-0.960922	-39.939880	2592828040	13,13,13	ok
-0.958918	-39.939880	2592828040	13,13,13	ok
-0.956914	-39.939880	2592828040	13,13,13	ok
-0.954910	-39.939880	2592828040	13,13,13	ok
-0.952906	-39.939880	1952031377	13,13,-13	ok
-0.950902	-39.939880	2620264610	13,13,-13,0	ok
-0.948898	-39.939880	2620264610	13,13,-13,0	ok
-0.946894	-39.939880	3480908177	13,13,-13,-1	ok
-0.944890	-39.939880	1952031377	13,13,-13	ok
-0.942886	-39.939880	1952031377	13,13,-13	ok
-0.940882	-39.939880	1455705877	13,13,12	ok
-0.938878	-39.939880	1455705877	13,13,12	ok
-0.936874	-39.939880	1455705877	13,13,12	ok
-0.934870	-39.939880	1074694315	13,13,-12	ok
-0.932866	-39.939880	784971227	13,13,11	ok
-0.930862	-39.939880	1132285052	13,13,-10,1	ok
-0.928858	-39.939880	141750677	13,13,-8,-1	ok
-0.926854	-39.939880	16088602	13,13,6	ok
-0.924850	-39.939880	157842002	13,13,5,-2	ok
-0.922846	-39.939880	2166295	13,13,4	ok
-0.920842	-39.939880	2303705	13,13,-4,0	ok
-0.918838	-39.939880	1275977	13,13,-4	ok
-0.916834	-39.939880	979230359	13,13,3,-3	ok
-0.914830	-39.939880	814700	13,13,-3,0	ok
-0.912826	-39.939880	480887716025	13,13,-3,-5	ok
-0.910822	-39.939880	275627	13,13,2	ok
-0.908818	-39.939880	275627	13,13,2	ok
-0.906814	-39.939880	13274102	13,13,2,-2	ok
-0.904810	-39.939880	305345	13,13,-2,0	ok
-0.902806	-39.939880	537140	13,13,-2,-1	ok
-0.900802	-39.939880	8390630	13,13,-2,-2	ok
-0.898798	-39.939880	177880	13,13,-2	ok
-0.896794	-39.939880	177880	13,13,-2	ok
-0.894790	-39.939880	123727	13,13,1	ok
-0.892786	-39.939880	123727	13,13,1	ok
-0.890782	-39.939880	123727	13,13,1	ok
-0.888778	-39.939880	123727	13,13,1	ok
-0.886774	-39.939880	36265360	13,13,1,2	ok
-0.884770	-39.939880	1026002	13,13,1,1	ok
-0.882766	-39.939880	222752	13,13,-1,-1	ok
-0.880762	-39.939880	222752	13,13,-1,-1	ok
-0.878758	-39.939880	222752	13,13,-1,-1	ok
-0.876754	-39.939880	200002	13,-13,-1,-1	ok
-0.874749	-39.939880	200002	13,-13,-1,-1	ok
-0.872745	-39.939880	586960	13,-13,-1,1	ok
-0.870741	-39.939880	3093802	13,-13,-1,-2	ok
-0.868737	-39.939880	186409060	13,-13,-1,-3	ok
-0.866733	-39.939880	9245756110	13,-13,-1,-4	ok
-0.864729	-39.939880	428446316917330	13,-13,-1,-8	ok
-0.862725	-39.939880	291724365426497377	13,-13,-1,-12	ok
-0.860721	-39.939880	563658998228824300	13,-13,-1,12	ok
-0.858717	-39.939880	563658998228824300	13,-13,-1,12	ok
-0.856713	-39.939880	563658998228824300	13,-13,-1,12	ok
-0.854709	-39.939880	291724365426497377	13,-13,-1,-12	ok
-0.852705	-39.939880	6761551515104977	13,-13,-1,9	ok
-0.850701	-39.939880	52623357127	13,-13,-1,4	ok
-0.848697	-39.939880	186409060	13,-13,-1,-3	ok
-0.846693	-39.939880	3093802	13,-13,-1,-2	ok
-0.844689	-39.939880	586960	13,-13,-1,1	ok
-0.842685	-39.939880	8771740	13,-13,-1,-1,-1	ok
-0.840681	-39.939880	200002	13,-13,-1,-1	ok
-0.838677	-39.939880	200002	13,-13,-1,-1	ok
-0.836673	-39.939880	35175052	13,-13,1,2	ok
-0.834669	-39.939880	109252	13,-13,1	ok
-0.832665	-39.939880	1087459852397502727	13,-13,1,-13	ok
-0.830661	-39.939880	1996074942651398752	13,-13,1,13	ok
-0.828657	-39.939880	1114051035639622720	13,-13,-2,-13	ok
-0.826653	-39.939880	5534173391302	13,-13,-2,-6	ok
-0.824649	-39.939880	1570852	13,-13,-2,1	ok
-0.822645	-39.939880	1141209972645847975	13,-13,2,-13	ok
-0.820641	-39.939880	409939	13,-13,-3	ok
-0.818637	-39.939880	694405	13,-13,3	ok
-0.816633	-39.939880	3459739	13,-13,-5	ok
-0.814629	-39.939880	89358370	13,-13,8	ok
-0.812625	-39.939880	1060692685	13,-13,-12	ok
-0.810621	-39.939880	1438115239	13,-13,12	ok
-0.808617	-39.939880	1438115239	13,-13,12	ok
-0.806613	-39.939880	1930099489	13,-13,-13	ok
-0.804609	-39.939880	1930099489	13,-13,-13	ok
-0.802605	-39.939880	1930099489	13,-13,-13	ok
-0.800601	-39.939880	1930099489	13,-13,-13	ok
-0.798597	-39.939880	83666064427	13,-13,-13,-3	ok
-0.796593	-39.939880	12514490089	13,-13,-13,-2	ok
-0.794589	-39.939880	12514490089	13,-13,-13,-2	ok
-0.792585	-39.939880	12514490089	13,-13,-13,-2	ok
-0.790581	-39.939880	12514490089	13,-13,-13,-2	ok
-0.788577	-39.939880	12514490089	13,-13,-13,-2	ok
-0.786573	-39.939880	12514490089	13,-13,-13,-2	ok
-0.784569	-39.939880	12514490089	13,-13,-13,-2	ok
-0.782565	-39.939880	30792313177	13,-13,-13,2	ok
-0.780561	-39.939880	1930099489	13,-13,-13	ok
-0.778557	-39.939880	1930099489	13,-13,-13	ok
-0.776553	-39.939880	1908353284	13,12,-13	ok
-0.774549	-39.939880	1908353284	13,12,-13	ok
-0.772545	-39.939880	1908353284	13,12,-13	ok
-0.770541	-39.939880	1908353284	13,12,-13	ok
-0.768537	-39.939880	1908353284	13,12,-13	ok
-0.766533	-39.939880	1908353284	13,12,-13	ok
-0.764529	-39.939880	1908353284	13,12,-13	ok
-0.762525	-39.939880	1908353284	13,12,-13	ok
-0.760521	-39.939880	1908353284	13,12,-13	ok
-0.758517	-39.939880	1908353284	13,12,-13	ok
-0.756513	-39.939880	1908291506	-13,12,-13	ok
-0.754509	-39.939880	1908291506	-13,12,-13	ok
-0.752505	-39.939880	1908291506	-13,12,-13	ok
-0.750501	-39.939880	1908291506	-13,12,-13	ok
-0.748497	-39.939880	1908291506	-13,12,-13	ok
-0.746493	-39.939880	1908291506	-13,12,-13	ok
-0.744489	-39.939880	1908291506	-13,12,-13	ok
-0.742485	-39.939880	1908291506	-13,12,-13	ok
-0.740481	-39.939880	1908291506	-13,12,-13	ok
-0.738477	-39.939880	1908291506	-13,12,-13	ok
-0.736473	-39.939880	1908291506	-13,12,-13	ok
-0.734469	-39.939880	1908291506	-13,12,-13	ok
-0.732465	-39.939880	1908291506	-13,12,-13	ok
-0.730461	-39.939880	1908291506	-13,12,-13	ok
-0.728457	-39.939880	1908291506	-13,12,-13	ok
-0.726453	-39.939880	1908291506	-13,12,-13	ok
-0.724449	-39.939880	1908291506	-13,12,-13	ok
-0.722445	-39.939880	1908291506	-13,12,-13	ok
-0.720441	-39.939880	1908291506	-13,12,-13	ok
-0.718437	-39.939880	1908291506	-13,12,-13	ok
-0.716433	-39.939880	1908291506	-13,12,-13	ok
-0.714429	-39.939880	1908291506	-13,12,-13	ok
-0.712425	-39.939880	1908291506	-13,12,-13	ok
-0.710421	-39.939880	1908291506	-13,12,-13	ok
-0.708417	-39.939880	1908291506	-13,12,-13	ok
