category_id	count	encoding	T_scs	gamma_scs
90	1	5695192346838532532854173	-1,0,0,0,0,0,0	11,2,-1,0,0
91	3	5695192364779843291411575	-1,0,0,0,0,0,0	11,0,1,0,0
92	1	5695192399926722650897968	-1,0,0,0,0,0,0	11,1,1,0,0
93	1	5695192504415621406376008	-1,0,0,0,0,0,0	11,2,0,-1,0
94	1	5695192509444318431380143	-1,0,0,0,0,0,0	11,0,-2,0,0
95	1	5695192916222040569705367	-1,0,0,0,0,0,0	11,-1,2,0,0
96	1	5695192989030151418902950	-1,0,0,0,0,0,0	11,1,2,0,0
97	1	5695192993434480208605000	-1,0,0,0,0,0,0	11,0,1,-1,0
98	1	5695193075020874510636613	-1,0,0,0,0,0,0	11,0,-1,0,-1
99	2	5695193592959830871580198	-1,0,0,0,0,0,0	11,0,-3,0,0
100	1	5695194006126400240784550	-1,0,0,0,0,0,0	11,0,1,0,-1
101	2	5695194331368396419039433	-1,0,0,0,0,0,0	11,0,0,1,0
102	18	5695201054661755803056486	1,0,0,0,0,0,0	11,0,0,0,0
103	4	5695201739202953758742925	-1,0,0,0,0,0,0	11,-1,0,0,0,0
104	1	5695208536604884085862933	-1,0,0,0,0,0,0	11,0,-1,0,0,0
105	6	5695209971820749963769925	1,0,0,0,0,0,0	-11,0,0,0,0,0
106	1	5695246993448175007735953	-1,0,0,0,0,0,0	11,0,0,1,-1
107	4	5695284792095387602937208	-1,0,0,0,0,0,0	11,0,0,-1,0,0
108	1	5695297549034874620151450	-1,0,0,0,0,0,0	11,0,6,0,0
109	1	5695343816521237061766450	-1,0,0,0,0,0,0	11,0,0,0,1
110	1	5695352739543014204964075	-1,0,0,0,0,0,0	11,1,0,0,1
111	1	5695446310239514613138928	-1,0,0,0,0,0,0	11,0,8,0
112	1	5695565958088906713864120	-1,-1,-1,-1,-1,-1	9,8,-8,-1
113	1	5695566791145223276825317	-1,0,0,0,0,0,0	11,2,2,1,-1
114	1	5695566992292965445292950	-1,0,0,0,0,0,0	11,0,0,2,0
115	1	5695865385746829849664409	-1,-1,-1,-1,-1,-1	9,9,-5,-1,-1
116	1	5696491860485199319967643	-1,0,0,0,0,0,0	11,-2,0,-1,1
117	1	5696514154531303282379592	-1,0,0,0,0,0,0	11,1,10,0
118	1	5696926174507503805726430	-1,-1,-1,-1,-1,-1	9,8,-9,1
119	1	5696992686694932746258967	-1,0,0,0,0,0,0	11,-1,0,0,-1,0
120	1	5706827815744563996457359	-1,-1,-1,-1,-1,-1	-10,-1,-1,1,1
121	1	5713523294603454384420245	-1,-1,-1,-1,-1,-1	-10,4,9,2
122	1	5715181072090300208560785	-1,-1,-1,-1,-1,-1	9,9,9,2
123	1	5735842178630752435650040	1,-2,-1,-1,-1,-1	10,9,9
124	1	5853663963826956128933928	-1,0,0,0,0,0,0	11,0,0,-4,0
125	1	7356977106755515387936191	1,0,-2,1,1,0	10,9,5,-4
126	1	9054138362088880188465105	-1,1,-2,-1,-1,-1	-10,-1,-1,-1,-1
127	1	19144406365870721361184992	-1,0,-1,0,1,0	11,-1,0,-4,1
128	1	33491351090124755969975541	1,1,-5,-1,-1,-1	10,4,-10,1
129	1	61471995847960799865725500	-1,0,10,-5,0	-11,0,10,3
130	1	63681837155323002604602900	-1,0,0,-1,0,0,0	11,0,0,-1,0
131	1	63681890619889955726981236	1,0,0,-1,0,0,0	10,-5,0,0,0
132	1	63681891568531251616563921	1,0,0,-1,0,0,0	10,10,-1,-1
133	1	63681920203805561976248130	1,0,0,-1,0,0,0	-11,0,0,0,0,0
134	1	63688645225006350993061560	-1,0,0,-1,0,0,0	10,1,8,0,-1
135	1	63690212521738072557373275	-1,0,0,-1,0,0,0	11,0,0,3
136	1	64031852413832726690730535	-1,0,0,-1,0,0,0	10,-1,0,0,-2
137	1	77971644315464078123501264	1,0,0,0,2	11,0,0,0,0
138	1	78839140632650455619958936	1,0,0,-3,0,0	11,0,0,0,2
139	1	80395827457674955112207470	1,0,0,-2,0,0	10,6,0,0,2
140	1	96426375797505148134642318	-1,0,6,-2,0	11,-3,0,6
141	1	110549073118428732060834561	-1,0,10,3,1	10,10,-10,0
142	1	111964411148824114170703875	-1,1,-9,-2,-2	9,-9,3,3
143	1	116294948540015045532815606	1,-1,0,-6,0	10,10,-8,0
144	1	141341406794799288777289261	1,0,0,0,-1,0	10,2,-2,0,2
145	1	142331956299531415368002431	1,0,0,-1,0,0	10,3,1,6
146	1	206821748974662567627740191	1,0,0,4,1	10,9,-2,0,0
147	1	209151603785895931147891764	-1,0,0,-1,0,0	11,4,-2,-6,0
148	1	239484297708882012373058385	-1,1,-11,-2,-2	-11,2,-11,1
149	1	282586839955508866962497811	1,0,0,-1,0,0,0	11,0,0,0,2
150	1	567414819024338518213423395	-1,0,0,-5,0,0	11,0,1,0,2
151	1	878890796486634299310867835	1,0,0,0,-2,0	10,-4,0,0,0
152	1	1027868944835004937108904592	-1,0,0,0,0,0,0	11,-1,0,0,-2,0
153	1	1041955748333925590270187117	-1,0,-1,0,-2,0	11,1,11,0
154	1	1116723746174247441893795229	-1,0,-1,0,-2,0	11,1,0,3,1
155	1	1490843182879927795039536691	1,-1,7,3,1	10,-10,0,-7
156	1	2110174341845263802118499720	-1,0,8,2,1	10,-1,0,-5,1
157	1	2401681669780984654533115330	1,0,0,4,-1,0	-11,0,0,0,1
158	1	3880916911598418253139180916	-1,0,0,-3,1,0	11,3,-1,0
159	1	6184234402186496062539287926	1,0,0,1,2	10,8,0,1,0
160	1	8234408884316157797759352567	-1,0,6,6,0	11,1,-11,0
161	1	8327925211102768037298250623	-1,-5,-7,-7	-11,8,10
162	1	8375898952558710949557571105	-1,0,0,0,1,-1	10,1,9,-2,0
163	1	11020239028979408396964783897	-1,0,-9,-1,2	9,-9,1,-1,0
164	1	12750524090263018946289494476	1,1,10,-2,-1,-1	10,-10,-1,-1,0
165	1	13298252216627732570779404035	-1,1,3,-2,1	9,-8,1,7
166	1	15105431154726905769606743095	-1,0,0,-6,0,0	10,0,-10,1
167	1	15284105207706840226980862764	-1,0,0,-6,0,0	11,0,10,4
168	1	16959102271242802569487253700	-1,0,11,-2,-1,-1	11,9,9,-1
169	1	20522186538611410431111838295	-1,-1,9,-3,-1	9,9,-3,7
170	1	35069787650041745784080129874	-1,-1,2,-5,-1,0	10,10,2,2
171	1	46103658502474789115562476754	-1,-5,-6,7	11,10,-11
172	1	51637557632621216932932715488	-1,0,-11,4,-1,0	-11,0,-11,-3
173	1	68931515506868046684593676306	-1,0,0,0,-1,0,0	11,-1,0,0,0
174	1	68931515518981680233533456431	-1,0,0,0,-1,0,0	11,1,1,0,0
175	1	68931515568418300593184874001	-1,0,0,0,-1,0,0	11,0,2,0,0
176	1	68931515593252641752416981686	-1,0,0,0,-1,0,0	11,0,-1,0,-1
177	1	68931525624591755187137317750	1,0,0,0,-1,0,0	-11,0,0,0,0
178	1	68931525624624429511443627986	1,0,0,0,-1,0,0	11,0,0,0,0
179	1	68931525626648009823610887061	1,0,0,0,-1,0,0	10,2,0,0,0
180	1	68931526605650970145440861505	1,0,0,0,-1,0,0	-11,0,0,0,0,0
181	1	68931556729356049200635006025	-1,0,0,0,-1,0,0	11,0,0,2,0
182	1	68936205570233032749021705710	1,0,0,0,-1,0,0	10,-9,8,-3
183	1	77096345548119995098580526675	-1,0,9,1,2	9,-9,9,2
184	1	87552616654475632457017442619	-1,0,-11,2,-1,-1	11,7,-1,1
185	1	88458743622535814653900711396	-1,1,-10,1,2	10,-10,1,5
186	1	91033670678259137657669561250	-1,0,0,0,0,0,0	11,-1,0,7,0
187	1	146708721379168950839325303859	1,2,10,7	10,-10,-1,-1,-1
188	1	232549570090549758138132738271	-1,1,-2,-6,1	9,9,-9,6
189	1	358780389249629845931883501233	-1,-7,-8,7	9,8,-9,7
190	1	406480139320808618084645231641	-1,7,-9,7	9,8,-9,7
191	1	406690070985946124157104669391	-1,7,-9,7	9,-9,-9,7
192	1	443797996475790897291592991130	-1,0,0,-1,-1,0,0	11,0,1,0,-1
193	1	443798039527144723264545311580	-1,0,0,-1,-1,0,0	11,-1,0,0,1
194	1	498768080308792027406974821708	-1,0,0,0,0,1	11,-3,0,0,0
195	1	498768080906079854463381676308	-1,0,0,0,0,1	11,0,0,1,0
196	1	498768124939478797086293615065	1,0,0,0,0,1	-11,0,0,0,0
197	1	498768124939566688614435201861	1,0,0,0,0,1	11,0,0,0,0
198	1	498768125040548061850042618920	1,0,0,0,0,1	11,0,0,0,-1
199	1	498768125080919237525528584885	1,0,0,0,0,1	10,5,0,-1,0
200	1	498768127578455891118439502400	1,0,0,0,0,1	-11,0,0,0,0,0
201	1	498768129745487444181955707235	1,0,0,0,0,1	-11,0,-1,0,0,0
202	1	498769965930481574133077697450	-1,0,0,0,0,1	11,0,1,-3,0
203	1	559642293034739964734022144241	1,0,-1,0,0,1	10,-10,0,0,-2
204	1	702747527444663728983240994701	1,0,-2,0,0,1	-11,0,0,1,-1
205	1	781277531729874989685628714643	-1,-7,-7,-7	9,8,-9,-8
206	1	789096979212853781496479278861	1,0,0,-7,0,0	10,2,3,0,0
207	1	1397778333384700841777194288293	-1,-8,4,8	10,9,-10,5
208	1	1773667560291941966148014637340	-1,-7,7,-8	-9,-7,7,-8
209	1	1995071071304521546524811290000	-1,-8,-8,-8	-9,-8,-8,-8
210	1	2160953792702914307948641956670	-1,-6,6,8	9,9,-9,-6
211	1	2245857962283729936353157062443	-1,-8,-8,-8	9,8,-9,-8
212	1	2323356170453197758544069708460	1,0,9,2,2	10,-3,0,3
213	1	3128754439263455319866742326156	1,5,-10,-8	-10,3,-10,-8
214	1	3220149133068649530765022083811	1,0,-1,0,1,0	-11,0,0,0,-3
215	1	3230365920138062142780857894343	-1,0,0,0,0,0,0	11,-1,0,0,-3
216	1	3564977747757125194949627186013	-1,0,1,-1,0,1	11,5,8
217	1	3564977888396225915633975611500	-1,0,1,-1,0,1	11,-1,0,2,0
218	1	3564978512494473138478777460100	-1,0,1,-1,0,1	11,1,-3,0,1
219	1	3564980382242966126070419808642	-1,0,1,-1,0,1	11,2,-2,-1,1
220	1	3565160609993027931183272473392	-1,0,1,-1,0,1	-10,0,1,-4,0
221	1	3920109006007540426426161432541	1,2,9,8	10,9,10,-4
222	1	3964709057551599060445844511812	-1,-1,-1,-1,-1,-1	-10,9,9,8
223	1	3965083814822013327242847983147	-1,1,-9,-1,-1,-1	-10,1,9,8
224	1	3983061058346647504672281759732	-1,0,9,5,0	-10,0,9,8
225	1	4303639338531148047348933509350	-1,7,-8,7	-9,8,8,8
226	1	4363761921519258707838728479504	-1,5,8,7	-9,5,8,8
227	1	4368209613340720634684017220823	-1,-8,-10,8	11,10,-11
228	1	4601245978699825202270324607078	-1,8,-10,6	10,9,-10,8
229	1	4840006895924595348380482275661	1,0,1,8,0	10,-6,0,2,-1
230	1	5138431001135476463623186643511	-1,7,9,8	9,-9,-8,7
231	1	5316520249763060501320048613154	-1,6,-9,7	9,8,9,8
232	1	5319480431497285437538873577382	-1,4,-9,7	9,9,9,8
233	1	5812449402973069683465881038563	-1,-8,-8,-8	9,-9,-8,8
234	1	6233637333607384730155596219813	-1,-8,-9,-8	9,-9,-8,8
235	1	6248339251558584823565679775755	-1,7,-8,-8	-9,-8,8,8
236	1	6249831211925639253303665762100	-1,-8,8,8	-9,-8,-8,-8
237	1	6252838868640900122389592992150	-1,-8,-8,-8	-9,8,8,8
238	1	6459159617623961232285861822504	-1,7,8,-8	-9,-8,8,8
239	1	6541492413316720046857596306801	-1,0,0,-6,0,-1	11,2,-2,0,0
240	1	6648257086855463693922322239133	1,0,2,-4,1,0	-11,0,1,0,-3
241	1	6740380496657609314010882693782	-1,-8,-8,-8	9,9,-9,8
242	1	7181721861230437831431899699906	-1,7,-9,8	9,8,-9,-8
243	1	11607788685967235558946086507580	-1,-8,-8,8	-9,-8,-8,8
244	1	11623398970697497809712857403436	-1,-7,7,8	-9,7,8,8
245	2	12234904920636689062048741257805	-1,-8,-8,8	-9,8,8,8
246	2	12861267279181075343869421943504	-1,7,8,8	-9,7,8,8
247	3	12874204010818516917028274541250	-1,-8,8,8	-9,8,8,8
248	1	12878518422077650968679448212400	-1,8,8,8	-9,8,8,8
249	1	12983638415589293169040676041575	-1,6,9,8	9,-9,7,8
250	1	13511635787619910818766040229333	-1,3,8,8	9,7,-9,8
251	1	13560590676547222946359014826938	-1,-8,8,8	9,8,-9,8
252	1	13565193368544295042601297988573	-1,-8,8,8	9,-9,-9,8
253	1	14278788259169244592718570467745	-1,8,-9,8	9,9,-9,8
254	1	15015330820966434344412647971851	-1,7,-9,8	9,8,9,8
255	1	15034705984703687348426802533795	-1,8,9,8	9,9,-9,8
256	1	15473917688659408023687013741914	-1,-1,-7,-8,-1	9,8,-9,2
257	1	15576564031782373101107011125280	-1,0,0,1,0,1	10,-1,9,-3
258	1	17506684396663078094259799096395	1,9,-10,8	10,9,-10,8
259	1	18580502703820328454928785088816	1,0,-10,-1,0,1	10,-10,1,0
260	1	18771405234472303803611988837511	1,0,0,0,2,0	10,10,-2,0,0
261	1	19572778288725819986017686271563	-1,0,0,0,2,0	10,1,1,1,2
