delta_x	delta_ca	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-0.944444	-25.555556	45	99887480609913080653142721402689	41	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-0.944444	-22.777778	40	3219630870954874081466514659729	34	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-0.944444	-20.000000	40	3219630870954874081466514659729	62	3219630870954912145017215161919	-1,8,8,8,8	8,8,8,8,8	ok
-0.833333	-45.000000	9	16773096244276	30	39665473622	1,1,-2,0,2	-16,0,-16,-2	ok
-0.833333	-42.222222	31	19082437102322085527	14	1570850	-1,0,1,14,-1	14,-14,-3,-1	ok
-0.833333	-39.444444	52	3147190906793045267617379912596370	56	1777327259257775915	-1,1,-13,2,-11	-13,-2,-12,-13	ok
-0.833333	-36.666667	23	533508198414997652	53	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.833333	-33.888889	53	9455884669399191660884342385366419	50	137520069382767449	-1,-11,-11,-11,-11	11,-11,-11,-11	ok
-0.833333	-31.111111	51	2225840977019920444092511290911250	47	66720925908142496	-1,10,10,10,10	10,10,10,10	ok
-0.833333	-28.333333	48	489473977720914081937327972658195	44	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-0.833333	-25.555556	44	18771403874319079111379122357950	38	6127218708778185	-1,-9,-9,-9,-9	9,-9,-9,-9	ok
-0.833333	-22.777778	40	3219630870954874081466514659729	34	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-0.833333	-20.000000	37	498768035658188838763056363530	61	498768035658203820272194170305	-1,-8,-8,-8,-8	8,-8,-8,-8,-8	ok
-0.722222	-45.000000	35	359248837960810589488	12	1106297	1,-1,-3,-15,-2	-16,15,-3,0	ok
-0.722222	-42.222222	29	5818052338901405759	24	1975846926	-1,-1,13,-14	-14,-1,13	ok
-0.722222	-39.444444	27	1862402202891664994	23	1930037360	-1,12,-13,-13	-13,-13,-13	ok
-0.722222	-36.666667	54	142315511012103471820664918283921429	53	533508221140224737	-1,-12,-12,-12,-12	-12,-12,-12,-12	ok
-0.722222	-33.888889	53	9455884669399191660884342385366419	49	137520068858324757	-1,-11,-11,-11,-11	-11,-11,-11,-11	ok
-0.722222	-31.111111	51	2225840977019920444092511290911250	47	66720925908142496	-1,10,10,10,10	10,10,10,10	ok
-0.722222	-28.333333	46	108520588184674852847904761334452	42	14732317585058792	-1,9,9,-10,9	-10,9,-10,9	ok
-0.722222	-25.555556	44	18771403874319079111379122357950	63	18771403874319177146876691612886	-1,-9,-9,-9,-9	-9,-9,-9,-9,-9	ok
-0.722222	-22.777778	40	3219630870954874081466514659729	34	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-0.722222	-20.000000	56	124384776697171140630079328682461662975044243401923320030869	60	498768035658202821504918316513	-1,-8,-8,-8,-8,-8	-8,-8,-8,-8,-8	ok
-0.611111	-45.000000	33	125142217739315803535	58	11277341565956793520	-1,0,-15,-15,1	15,-1,2,-15	ok
