delta_x	delta_ca	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-45.000000							error: T SSCS does not start with ±1: [-2, -2, -1, -1]
-1.500000	-42.222222							error: T SSCS does not start with ±1: [4, 0, 0, 0]
-1.500000	-39.444444							error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.500000	-36.666667	2	89	5	677	1,0,0,0	13,0,0,0	ok
-1.500000	-33.888889	1	77	3	606	-1,0,0,0	12,0,0,0	ok
-1.500000	-31.111111	2	89	1	539	1,0,0,0	11,0,0,0	ok
-1.500000	-28.333333	6	9590	43	6386547328603766	-1,0,0,1	10,0,9,-9	ok
-1.500000	-25.555556	10	115938377	39	2687023258164198	-1,0,-9,0	9,-9,0,-9	ok
-1.500000	-22.777778	18	2055098588480789	36	2283266909404894	-1,-5,6,8	-9,5,7,8	ok
-1.500000	-20.000000	17	998766694834649	35	999189900303645	1,-8,-8,-8	8,8,-8,-8	ok
-1.388889	-45.000000							error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.388889	-42.222222	2	89	7	914	1,0,0,0	16,0,0,0	ok
-1.388889	-39.444444							error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.388889	-36.666667	2	89	4	641	1,0,0,0	-13,0,0,0	ok
-1.388889	-33.888889	1	77	2	572	-1,0,0,0	-12,0,0,0	ok
-1.388889	-31.111111	28	15355805187064685	30	37998490629	-1,0,-1,-10	-11,0,0,4	ok
-1.388889	-28.333333	27	14738679547614901	44	7037003902501906	1,-1,0,-10	10,2,1,9	ok
-1.388889	-25.555556	23	6406958294820305	32	451520166673117	-1,6,9,-9	9,9,-9,7	ok
-1.388889	-22.777778	21	5848780619532479	40	5848782350016823	-1,8,8,-9	-9,8,8,-9	ok
-1.388889	-20.000000	19	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.277778	-45.000000							error: T SSCS does not start with ±1: [-2, -2, -2, -2]
-1.277778	-42.222222	2	89	15	139625	1,0,0,0	-16,0,3,0	ok
-1.277778	-39.444444	1	77	6	752	-1,0,0,0	14,0,0,0	ok
-1.277778	-36.666667	1	77	8	1103	-1,0,0,0	-13,0,-1,0	ok
-1.277778	-33.888889	35	69051438904821989	26	2089326380	-1,0,0,-11	-12,1,11,1	ok
-1.277778	-31.111111	32	66523669472059877	50	32497077261929295	-1,0,10,10	-11,-1,0,10	ok
-1.277778	-28.333333	30	31282545094055729	47	30124139753553605	1,9,-10,-10	10,9,9,-10	ok
