category_id	count	encoding	T_scs	gamma_scs
5815	1	141196413622781837599817427692979972444928468713178936730171356201	1,1,-10,0,10	10,-10,0,10
5816	1	141296402231956388147899037390636168554503781708617533065726928535	-1,0,10,0,10	-11,4,10,-10
5817	1	141296402231956388245860375800633096784529396568519483419307487076	1,0,10,0,10	10,-10,0,-2,0
5818	1	141296402231956388245860879135646122885081045971474512464999526621	1,0,10,0,10	10,-10,0,3
5819	1	141296402231956395752959179005782465201353816899119951561900701776	1,0,10,0,10	10,7,9,9
5820	1	141296402231956404022342072665691402221346649744142489267445155594	-1,0,10,0,10	10,10,9,10
5821	1	141296402231956406185384230583798474772786659885341172817080384687	1,0,10,0,10	-11,1,0,-10,0
5822	1	141296402231956406276004471009617627934327281987066083093070166160	-1,0,10,0,10	-11,0,10,10
5823	1	141296402231956416962183121692284679474952213872102889981476932411	1,0,10,0,10	-11,-1,7,10
5824	1	159744741689551779232039331276449962683454594958280326857053159900	-1,-1,1,-11,-10	11,-8,-10,-1
5825	1	159969338829089064320745946998210977271479673373811239899055040841	-1,0,2,-11,-10	11,-10,-2,0
5826	1	159969338829089101959760539648078343403330556976387102200914660541	-1,0,2,-11,-10	11,1,10,10
5827	1	161323180637281081726616497609234609618434408990750842852082904885	-1,0,8,-11,-10	-11,0,10,10
5828	1	161549872534341573906199414585938533568329065918557610090796042715	-1,1,9,-11,-10	-11,1,-10,-3
5829	1	161776848095169519045058529226020688721408055353297704011636713058	-1,-1,10,-11,-10	-11,-1,10,10
5830	1	161776853078165845093633312524114896850657608745971323983165677783	-1,1,10,-11,-10	-11,-2,1,10
5831	1	161776858061162341302375526205263704263125225020733532285952198745	-1,-2,10,-11,-10	-11,2,10,10
5832	1	161776858061162379078443348886063324133688349756452170941237228265	-1,-2,10,-11,-10	-11,-2,10,-11
5833	1	161776863044158991656637196755999900529312496071331651041052928990	-1,2,10,-11,-10	-11,2,10,-11
5834	1	161776868027155700750152499734146469383482711163282228348234098660	-1,-3,10,-11,-10	-11,3,10,10
5835	1	161890445463262026195342257806414778109527627042998326778468703514	-1,0,-11,-11,-10	11,-1,0,-11
5836	1	161890550170504916795301877233463062337223374109257684864184943318	-1,0,0,0,-10,0	11,-1,0,-1,0,0
5837	1	161890550170504916795913608232048063348822401103896262931170113325	-1,0,0,0,-10,0	11,0,0,-5,0
5838	1	161890550170504919423467917059892586709240182704286595387728950075	-1,0,0,0,-10,0	11,1,0,3,2
5839	1	161890550170504935990987049273331848070751220794724941845538358966	1,0,0,0,-10,0	10,8,3,-1
5840	1	161890550170504935990987074093667770649954383930029410690998657675	1,0,0,0,-10,0	11,0,0,0,1
5841	1	162004227370673224462559506910728529631322713270783031853920748034	-1,0,-1,0,-10,0	-11,0,0,3
5842	1	162004227370673242963738100033000220826095696491343057519278513067	-1,0,-1,0,-10,0	11,1,0,10
5843	1	162004227370673243668352602222485135194916381796678182754289785484	1,0,-1,0,-10,0	10,10,0,1,-1
5844	1	162004232359797252410998262795891896735796282388536177492035604864	1,-1,-1,0,-10,0	10,-3,-1,6
5845	1	162004237348921401823681392115904279954792498513329435081448748304	1,1,-1,0,-10,0	10,-10,6,9
5846	1	162004237348921414133728368751363910150179552641436218831621488914	1,1,-1,0,-10,0	10,-10,0,10
5847	1	162117979401574420929269317900185873955177993695710513801594923707	-1,0,1,0,-10,0	10,-2,0,8,0
5848	1	162117979401574438542097309776079368565350372341708085523529217430	1,0,1,0,-10,0	10,-3,0,3,0
5849	1	162117979401574438543017444053648744915182168050889808788347249586	1,0,1,0,-10,0	10,5,2,5
5850	1	162117984393763922755449978739617976169868777904323225398970880250	-1,-1,-11,4,1	11,1,-2,-1,10
5851	1	162345708139495428813400646590414125928885189029665994819191464586	1,0,2,0,-10,0	10,-5,0,-1,0
5852	1	162345708139495428813401571226565822743675263898382764109424994051	1,0,2,0,-10,0	10,2,-10,0,-1
5853	1	162687863627061890650514593751458946211648100904714355797971760625	-1,0,-4,0,-10,0	-11,0,-8,-1,0
5854	1	162916342743477839551895903206642602186063155736584351932468028760	-1,0,-5,0,-10,0	-11,0,3,10
5855	1	163374198711007166769306003868648758971853820465227848497049875446	-1,0,7,-1,10	11,-4,8,3
5856	1	163948226470353729425889191026301149296327249036333781571469526443	-1,-1,-10,-1,10	-11,-9,-1,10
5857	1	163948231511823037364418550929618890301813946676640994197263741611	1,1,-10,-1,10	10,9,10,2
5858	1	164040905493355301145602055392876066494381589109356883251457095128	-1,0,-9,-1,10	-11,-1,-4,0,8
5859	1	164063252634527129489734412474463799847455855118429482095691024251	-1,0,10,-1,10	10,10,10,0
5860	1	164063252634527138250245012260720756887212516051503298625546849025	-1,0,10,-1,10	-11,0,10,9
5861	1	164178359502446424131802217181262008739635845865091689428388735859	-1,0,-11,-1,10	11,1,-5,1
5862	1	164178359502446424131802281385037907324706273986889693621640603119	-1,0,-11,-1,10	11,-2,-9,0
5863	1	164178359502446424131802540324711190831782124445973774612321041199	-1,0,-11,-1,10	11,2,-11,0
5864	1	164178359502446424131802628835780584751983994199730212834461489169	-1,0,-11,-1,10	11,10,-11,0
5865	1	164178359502446424131802666790332724966236125078816188777089843099	-1,0,-11,-1,10	11,1,-11,-1
5866	1	164178359502446424131803096847665752809503388815537755941056804962	-1,0,-11,-1,10	11,1,-11,1
5867	1	164178359502446424131803517126286590444699756336408167420269444849	-1,0,-11,-1,10	11,5,11,1
5868	1	164178359502446444198931703922287833765442590321165811198168969962	-1,0,-11,-1,10	11,1,1,10
5869	1	164178359502446462262769803209291032398123888862349682297520371087	-1,0,-11,-1,10	11,1,10,10
5870	1	164178364550107281342760766554575205282289697051654472952401352084	-1,-1,-11,-1,10	11,4,10,3
5871	1	187739154196347987344237425980232067816575661988404047474795244532	-1,0,0,1,10	11,1,11,0
5872	1	187739154196349131621902736371435320517368959548784878143665658898	-1,0,0,10,-1,0	-11,0,0,1,10
5873	1	187739171224643938388687086435637996338594767705109155349253422200	-1,0,6,10,2	-11,-2,0,1,10
5874	1	187869766698778047445008710299342328655654576618156431676966416325	-1,0,-1,1,10	11,0,1,-11,0
5875	1	187869772378322743426607392235442535134887796209490380547674713952	-1,-1,-1,1,10	10,10,-4,0
5876	1	187869772378322743426607717826614312135473823548030105950688629212	-1,-1,-1,1,10	10,10,-10,-1
5877	1	187869772378322743426608534727421304227577760510300637003817571628	-1,-1,-1,1,10	11,9,-11,1
5878	1	187869772378322743426608561048346050059058309158557518962349241583	-1,-1,-1,1,10	11,10,-11,1
5879	1	187869772378322743426609504170499172048925722498305520818380831443	-1,-1,-1,1,10	10,10,10,-2
5880	1	187869772378322743426675932388828746718328562326486222636400575843	-1,-1,-1,1,10	11,1,-11,3
5881	1	187869772378322778947417530506264204755613214013470890733798105143	-1,-1,-1,1,10	-11,1,8,10
5882	1	187869772378323213453888311255269904948390041901680448332525480677	-1,0,10,10	-11,-1,-1,1,10
5883	1	188000470070470792368760497179409130907401922773716215923922924375	-1,-1,1,1,10	-11,-1,-1,-1,-1
5884	1	188000470070470792390557260047450668368087647700947204493368701933	-1,-1,1,1,10	-11,10,5,6
5885	1	188000470070470813846188149333903526259977279120256623087929074277	-1,-1,1,1,10	-11,-2,1,10
5886	1	188000470070471363002766578305263552910477921497243961496957943652	-1,-1,10,-2,-2,-1	-11,-1,1,1,10
5887	1	188000475753472912666483006107074891539170031235587243825475147736	1,0,0,0,9,-1	11,0,0,0,0
5888	1	188000481436475097385279764799932272060304915381473426302705488379	1,1,-1,-1,-10,0	10,8,-10,-1
5889	1	188000492802479939244091148793844720346128568029490191327316068741	1,-3,1,1,10	10,-10,-10,1
5890	1	188131258687196020478808366261624477949124222586936073756674902979	-1,1,-2,1,10	-11,9,3,10
5891	1	188131264373657291414409365921722375169941523652320332643339821131	1,-2,-2,1,10	10,9,-10,-1
5892	1	188131275746580288400964580367043199729912417393786014287040086915	-1,-3,-2,1,10	10,-10,9,-10
5893	1	188262115531075398810239256193498197851249435737859695603907198487	-1,0,2,1,10	11,1,11,0
5894	1	188262115531075398924566797570999190046159096051786085773573403300	-1,0,2,1,10	-11,0,2,7
5895	1	188262115531075408635709577349104144356583232604884412678331326614	-1,0,2,1,10	11,2,1,-10
5896	1	188262115531075418750955842483623678460155894700866406504241530862	-1,0,2,1,10	11,-1,0,10
5897	1	188262115531075420306339851613251472870433265860962000435831268662	1,0,2,1,10	-11,0,-1,0,0
5898	1	188262126910919585550603984232622951736381249258864976215943179217	-1,0,1,0,9,-1	10,-1,-6,0,-1
5899	1	188393080476555268661409073915528788672733605799821370998103006584	-1,1,-3,1,10	-11,7,10,10
5900	1	188393086169940504493664976476517084309017590305868260291823365186	-1,-2,-3,1,10	10,10,-10,-3
5901	1	188524113739194158699728516820960019719459305972265143958363854435	-1,0,-3,-1,-10,0	-11,0,8,-11
5902	1	188655232440722932978928833005592848501827522731871043883219022893	-1,0,-4,1,10	-11,0,2,10
5903	1	188786448040706849932397528506727439310992338647446306915361220610	-1,-1,4,1,10	-11,2,10,2
5904	1	188917749197481337593544223649541949250053687691523635130128847861	1,0,-4,0,9,-1	10,-10,0,-1,0
5905	1	189049124541651760158414624889005964232896677583672980686387274526	1,0,-5,-1,-10,0	10,-10,0,10
5906	1	189180596961280158250828081543819113470191667394477926303122924500	-1,1,-6,1,10	-11,-5,9,10
5907	1	189768404048308323811931325075081876037571291258648594767941765060	-1,-1,1,-8,8	-11,-1,1,1,10
5908	1	189839205677689749089529561857723127471960839330604636919543472452	-1,0,8,1,10	-11,0,-7,3
