nominal_iterate	missing_data_squares	constant_sign_squares	incremented_squares	contoured_squares	emitted_segments
1	1999	3994002	0	0	0
2	1999	3989417	1594	4585	4595
3	1999	3980344	3024	9073	9099
4	2150	3963660	6220	16533	16566
5	5256	3935449	8091	25105	25201
6	22513	3869578	16811	48614	48820
7	39215	3778416	23054	74460	75159
8	68621	3623188	31613	125822	127657
