word	code	red	green	blue	hex	count
00000000	0	194	87	87	#c25757	20083
00000001	1	69	168	194	#45a8c2	6473
00000010	2	194	111	51	#c26f33	2851
00000011	3	33	92	194	#215cc2	7418
00000100	4	209	191	94	#d1bf5e	3115
00000101	5	82	75	209	#524bd1	1227
00000110	6	168	209	55	#a8d137	3275
00000111	7	118	36	209	#7624d1	7804
00001000	8	140	224	101	#8ce065	3647
00001001	9	210	80	224	#d250e0	1551
00001010	10	59	224	77	#3be04d	630
00001011	11	224	38	165	#e026a5	1507
00001100	12	108	240	178	#6cf0b2	4490
00001101	13	240	85	125	#f0557d	1544
00001110	14	63	240	231	#3ff0e7	3884
00001111	15	240	73	41	#f04929	9588
00010000	16	87	154	194	#579ac2	3421
00010001	17	194	142	69	#c28e45	2201
00010010	18	51	80	194	#3350c2	936
00010011	19	193	194	33	#c1c221	2021
00010100	20	119	94	209	#775ed1	844
00010101	21	151	209	75	#97d14b	453
00010110	22	154	55	209	#9a37d1	931
00010111	23	61	209	36	#3dd124	1705
00011000	24	224	101	217	#e065d9	4245
00011001	25	80	224	120	#50e078	2706
00011010	26	224	59	144	#e03b90	904
00011011	27	38	224	168	#26e0a8	2174
00011100	28	240	108	120	#f06c78	6652
00011101	29	85	222	240	#55def0	2022
00011110	30	240	121	63	#f0793f	5126
00011111	31	41	132	240	#2984f0	7801
00100000	32	194	167	87	#c2a757	3229
00100001	33	69	74	194	#454ac2	1868
00100010	34	169	194	51	#a9c233	1321
00100011	35	95	33	194	#5f21c2	2450
00100100	36	141	209	94	#8dd15e	1796
00100101	37	183	75	209	#b74bd1	874
00100110	38	55	209	57	#37d139	1834
00100111	39	209	36	170	#d124aa	2183
00101000	40	101	224	155	#65e09b	926
00101001	41	224	80	131	#e05083	1059
00101010	42	59	224	201	#3be0c9	611
00101011	43	224	51	38	#e03326	931
00101100	44	108	203	240	#6ccbf0	1837
00101101	45	240	161	85	#f0a155	2641
00101110	46	63	116	240	#3f74f0	1272
00101111	47	240	223	41	#f0df29	1492
00110000	48	101	87	194	#6557c2	4476
00110001	49	152	194	69	#98c245	2427
00110010	50	129	51	194	#8133c2	1997
00110011	51	72	194	33	#48c221	28379
00110100	52	206	94	209	#ce5ed1	1992
00110101	53	75	209	99	#4bd163	1108
00110110	54	209	55	149	#d13795	1814
00110111	55	36	209	140	#24d18c	2215
00111000	56	224	101	124	#e0657c	7628
00111001	57	80	221	224	#50dde0	2620
00111010	58	224	98	59	#e0623b	1029
00111011	59	38	141	224	#268de0	2382
00111100	60	240	194	108	#f0c26c	6240
00111101	61	85	106	240	#556af0	1694
00111110	62	226	240	63	#e2f03f	3695
00111111	63	98	41	240	#6229f0	7885
01000000	64	141	194	87	#8dc257	2846
01000001	65	158	69	194	#9e45c2	1625
01000010	66	62	194	51	#3ec233	1034
01000011	67	194	33	172	#c221ac	1827
01000100	68	94	209	134	#5ed186	1492
01000101	69	209	75	134	#d14b86	921
01000110	70	55	209	173	#37d1ad	1558
01000111	71	209	36	40	#d12428	2164
01001000	72	101	201	224	#65c9e0	1258
01001001	73	224	138	80	#e08a50	1884
01001010	74	59	124	224	#3b7ce0	1053
01001011	75	224	191	38	#e0bf26	3720
01001100	76	112	108	240	#706cf0	1957
01001101	77	202	240	85	#caf055	1704
01001110	78	143	63	240	#8f3ff0	1383
01001111	79	108	240	41	#6cf029	1619
01010000	80	180	87	194	#b457c2	652
01010001	81	69	194	80	#45c250	677
01010010	82	194	51	151	#c23397	1186
01010011	83	33	194	115	#21c273	1004
01010100	84	209	94	126	#d15e7e	651
01010101	85	75	209	200	#4bd1c8	3037
01010110	86	209	77	55	#d14d37	1056
01010111	87	36	148	209	#2494d1	461
01011000	88	224	170	101	#e0aa65	918
01011001	89	80	113	224	#5071e0	2173
01011010	90	224	222	59	#e0de3b	3317
01011011	91	75	38	224	#4b26e0	1110
01011100	92	186	240	108	#baf06c	1131
01011101	93	181	85	240	#b555f0	794
01011110	94	93	240	63	#5df03f	828
01011111	95	240	41	232	#f029e8	1261
01100000	96	87	194	114	#57c272	3353
01100001	97	194	69	136	#c24588	2603
01100010	98	51	194	147	#33c293	1247
01100011	99	194	33	52	#c22134	2604
01100100	100	94	198	209	#5ec6d1	1742
01100101	101	209	116	75	#d1744b	2116
01100110	102	55	130	209	#3782d1	22246
01100111	103	209	162	36	#d1a224	2779
01101000	104	101	109	224	#656de0	920
01101001	105	203	224	80	#cbe050	3275
01101010	106	118	59	224	#763be0	1134
01101011	107	118	224	38	#76e026	1076
01101100	108	211	108	240	#d36cf0	1960
01101101	109	87	240	85	#57f055	1821
01101110	110	240	63	204	#f03fcc	1821
01101111	111	41	240	123	#29f07b	1560
01110000	112	194	87	127	#c2577f	3896
01110001	113	69	194	173	#45c2ad	5268
01110010	114	194	58	51	#c23a33	1844
01110011	115	33	152	194	#2198c2	2323
01110100	116	209	148	94	#d1945e	1311
01110101	117	75	118	209	#4b76d1	680
01110110	118	209	192	55	#d1c037	1440
01110111	119	53	36	209	#3524d1	2208
01111000	120	186	224	101	#bae065	5786
01111001	121	156	80	224	#9c50e0	2735
01111010	122	103	224	59	#67e03b	807
01111011	123	214	38	224	#d626e0	1880
01111100	124	108	240	128	#6cf080	3636
01111101	125	240	85	183	#f055b7	1616
