delta_x	success	mode	s_pre	s_img	residual	return_solves	elapsed_seconds	anchor_checked	anchor_match	anchor_s_pre	anchor_s_img	anchor_residual	s_diff	img_diff	fast_T_scs	anchor_T_scs	message
-1.5	true	predict	0.23776963066837306	0.05364977872800172	1.4062423429717086e-5	68	0.564584708	true	true	0.23776963066837306	0.05364977872800172	0.0	0.0	0.0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0	
-1.4873417721518987	true	predict	0.23108730518609388	0.05340594537142335	1.3408650283958101e-5	6	0.003987583	false	false	NaN	NaN	NaN	NaN	NaN			
-1.4746835443037976	true	predict	0.22456825566874244	0.05314804959141527	1.277435387053022e-5	6	0.0039765	false	false	NaN	NaN	NaN	NaN	NaN			
-1.4620253164556962	true	predict	0.2182087304795348	0.05287674516112322	1.2184830327957585e-5	6	0.00397	false	false	NaN	NaN	NaN	NaN	NaN			
-1.4493670886075949	true	predict	0.21200507294042453	0.052592666376960646	1.1618805513806396e-5	6	0.00411	false	false	NaN	NaN	NaN	NaN	NaN			
-1.4367088607594938	true	predict	0.2059537170182238	0.05229640276247012	1.1079274830086416e-5	6	0.00379325	false	false	NaN	NaN	NaN	NaN	NaN			
-1.4240506329113924	true	predict	0.20005118570548272	0.05198852034246578	1.0553956772810236e-5	6	0.00399475	false	false	NaN	NaN	NaN	NaN	NaN			
-1.4113924050632911	true	predict	0.19429406866236063	0.051669558647631356	1.0065586396303117e-5	6	0.0040085	false	false	NaN	NaN	NaN	NaN	NaN			
-1.3987341772151898	true	predict	0.18867904520454892	0.05134004299602412	9.597990993433225e-6	6	0.004158417	false	false	NaN	NaN	NaN	NaN	NaN			
-1.3860759493670887	true	predict	0.1832028753228005	0.05100046175802059	9.151494111861447e-6	6	0.003799917	false	false	NaN	NaN	NaN	NaN	NaN			
-1.3734177215189873	true	predict	0.17786239317587668	0.050651282529023615	8.726351425750178e-6	68	0.047502791	true	true	0.17786239317587668	0.050651282529023615	0.0	0.0	0.0	0,0,0,0,0,0,0	0,0,0,0,0,0,0	
-1.360759493670886	true	predict	0.17265450906300375	0.05029295180591478	8.322572500142622e-6	6	0.003752209	false	false	NaN	NaN	NaN	NaN	NaN			
-1.3481012658227849	true	predict	0.16757620630152528	0.049925894731380205	7.940631475349125e-6	6	0.003748667	false	false	NaN	NaN	NaN	NaN	NaN			
-1.3354430379746836	true	predict	0.16262454412949623	0.04955051508434548	7.576933804008534e-6	6	0.004114833	false	false	NaN	NaN	NaN	NaN	NaN			
-1.3227848101265822	true	predict	0.15779665297149173	0.0491671948058354	7.234399857100615e-6	6	0.004000167	false	false	NaN	NaN	NaN	NaN	NaN			
-1.3101265822784811	true	predict	0.15308973587452815	0.048776297593521326	6.910363665180164e-6	6	0.004004834	false	false	NaN	NaN	NaN	NaN	NaN			
-1.2974683544303798	true	predict	0.14850106744010336	0.04837816598135014	6.606960463839684e-6	6	0.004090041	false	false	NaN	NaN	NaN	NaN	NaN			
-1.2848101265822784	true	predict	0.14402799540713354	0.047973124005513776	6.321015970554844e-6	6	0.004034667	false	false	NaN	NaN	NaN	NaN	NaN			
-1.2721518987341771	true	predict	0.13966794075720956	0.04756147506921357	6.056679117162622e-6	6	0.00376525	false	false	NaN	NaN	NaN	NaN	NaN			
-1.259493670886076	true	predict	0.13541839991583235	0.04714350511694282	5.813424627132413e-6	6	0.003731042	false	false	NaN	NaN	NaN	NaN	NaN			
-1.2468354430379747	true	predict	0.13127694992689137	0.0467194784855549	5.593379148217947e-6	68	0.049906915999999996	true	true	0.13127694992689137	0.0467194784855549	0.0	0.0	0.0	0,0,0,1,0,0,0	0,0,0,1,0,0,0	
-1.2341772151898733	true	predict	0.1272412520195067	0.04628963842953984	5.4015323402850646e-6	6	0.003983625	false	false	NaN	NaN	NaN	NaN	NaN			
-1.2215189873417722	true	predict	0.1233090629150577	0.04585420499437658	5.2413269013215635e-6	6	0.003747792	false	false	NaN	NaN	NaN	NaN	NaN			
-1.2088607594936709	true	predict	0.1194782484271537	0.04541337002687302	5.125129896907388e-6	6	0.003725333	false	false	NaN	NaN	NaN	NaN	NaN			
-1.1962025316455696	true	predict	0.11574680654373151	0.04496729373246814	5.069198485273263e-6	6	0.003733583	false	false	NaN	NaN	NaN	NaN	NaN			
-1.1835443037974684	true	predict	0.11211290584085426	0.04451609230816636	5.102378231099103e-6	6	0.003777125	false	false	NaN	NaN	NaN	NaN	NaN			
-1.1708860759493671	true	predict	0.10857494490538236	0.0440598216853793	5.2740139903570404e-6	6	0.004682583	false	false	NaN	NaN	NaN	NaN	NaN			
-1.1582278481012658	true	predict	0.10513165032820933	0.04359844868436114	5.661670994146217e-6	6	0.004095459	false	false	NaN	NaN	NaN	NaN	NaN			
-1.1455696202531647	true	predict	0.10178221989332621	0.04313180166935263	6.3711937304047894e-6	6	0.00427525	false	false	NaN	NaN	NaN	NaN	NaN			
-1.1329113924050633	true	predict	0.09852650106606223	0.04265949298334997	7.497133381426102e-6	6	0.004417084	false	false	NaN	NaN	NaN	NaN	NaN			
-1.120253164556962	true	predict	0.09536511734414158	0.042180813103616904	9.083537313617218e-6	68	0.053584458	true	true	0.09536511734414158	0.042180813103616904	0.0	0.0	0.0	0,-1,0,-1,0,1	0,-1,0,-1,0,1	
-1.1075949367088607	true	predict	0.09229944832115546	0.04169463609050241	1.1162619319313172e-5	6	0.004436875	false	false	NaN	NaN	NaN	NaN	NaN			
-1.0949367088607596	true	predict	0.08933159117767639	0.04119937554007431	1.3844535874787955e-5	6	0.004693917	false	false	NaN	NaN	NaN	NaN	NaN			
-1.0822784810126582	true	predict	0.08646460871113917	0.040692952370326885	1.7385774477268745e-5	6	0.004627208	false	false	NaN	NaN	NaN	NaN	NaN			
