delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.184211	-33.000000	960316261508696958684	5819424764	-1,-1,5,11,-3	11,10,11,-2	ok
-1.184211	-32.315789	8847734023369006336141485258166955	890989769	-1,1,3,10,-11	11,-3,8,-2	ok
-1.184211	-31.631579	62124979153573349	55075635283609866437107	-1,-2,9,10	-11,-2,-2,-2,-5	ok
-1.184211	-30.947368	46915472359206005	66720926273439432	-1,-4,5,10	-11,10,10,10	ok
-1.184211	-30.263158	62256106217378639	66720925908142496	-1,-9,9,10	10,10,10,10	ok
-1.184211	-29.578947	32479801288134452	31293739669567733	-1,9,10,-10	10,10,-10,-10	ok
-1.184211	-28.894737	489473969894105793290234580880619	31288144257776695	-1,9,-10,-10,-10	10,-10,-10,-10	ok
-1.184211	-28.210526	453895729641538607484895107171494	14732317585058792	-1,9,-10,9,-10	-10,9,-10,9	ok
-1.184211	-27.526316	108520588184674852847904761334452	31282549346268347	-1,9,9,-10,9	-10,9,-10,-10	ok
-1.184211	-26.842105	99887480609913080653142721402689	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.184211	-26.157895	99887480609913080653142721402689	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.184211	-25.473684	99887480609913094787319783397708	14134177061995017	1,9,9,9,9	9,9,9,9	ok
-1.184211	-24.789474	18771403874319085238597720436376	6127218708778185	1,-9,-9,-9,-9	9,-9,-9,-9	ok
-1.184211	-24.105263	18771403874319085238597720436376	6127218598078424	1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.184211	-23.421053	18771403874319079111379122357950	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.184211	-22.736842	17113432059335363421900214640502	2671081176279736	-1,8,-9,8,-9	-9,8,-9,8	ok
-1.184211	-22.052632	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.184211	-21.368421	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.184211	-20.684211	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.184211	-20.000000	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
