delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.026316	-33.000000	137503074817916327	137520069382767449	-1,10,-11,-11	11,-11,-11,-11	ok
-1.026316	-32.315789	69041300686785800	69041308118679450	-1,10,-11,10	-11,10,-11,10	ok
-1.026316	-31.631579	133256391358893179	137503085306122257	-1,10,10,-11	-11,10,-11,-11	ok
-1.026316	-30.947368	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-1.026316	-30.263158	66720918967500902	66720925908142496	-1,10,10,10	10,10,10,10	ok
-1.026316	-29.578947	489473977720914081937327972658195	31288144257776695	-1,-10,-10,-10,-10	10,-10,-10,-10	ok
-1.026316	-28.894737	489473977720914081937327972658195	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-1.026316	-28.210526	489473977720914081937327972658195	31288144007624166	-1,-10,-10,-10,-10	-10,-10,-10,-10	ok
-1.026316	-27.526316	99887480609913080653142721402689	14134177230126971	-1,9,9,9,9	-10,9,9,9	ok
-1.026316	-26.842105	99887480609913080653142721402689	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.026316	-26.157895	99887480609913080653142721402689	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.026316	-25.473684	99887480609913080653142721402689	14134177061995017	-1,9,9,9,9	9,9,9,9	ok
-1.026316	-24.789474	18771403874319079111379122357950	6127218708778185	-1,-9,-9,-9,-9	9,-9,-9,-9	ok
-1.026316	-24.105263	18771403874319079111379122357950	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.026316	-23.421053	18771403874319079111379122357950	6127218598078424	-1,-9,-9,-9,-9	-9,-9,-9,-9	ok
-1.026316	-22.736842	3219630870954874081466514659729	2537570117940154	-1,8,8,8,8	-9,8,8,8	ok
-1.026316	-22.052632	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.026316	-21.368421	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.026316	-20.684211	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.026316	-20.000000	3219630870954874081466514659729	3219630870954912145017215161919	-1,8,8,8,8	8,8,8,8,8	ok
