delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.500000	-33.000000	2600339	7853	-1,0,0,0,0,0	11,-2,0,0,0	ok
-1.500000	-32.315789	2600339	1033965053	-1,0,0,0,0,0	11,0,0,-3,0	ok
-1.500000	-31.631579	2602619	3983	1,0,0,0,0,0	11,0,0,0,0	ok
-1.500000	-30.947368	2602619	2646129	1,0,0,0,0,0	-11,0,0,0,0,0	ok
-1.500000	-30.263158	2602619	20590132362758620077702497221132	1,0,0,0,0,0	-11,0,0,0,9	ok
-1.500000	-29.578947	96210373218046352217226133601583001445719630369	8035506586	1,0,0,0,0,5	10,3,0,3,0	ok
-1.500000	-28.894737	883198714222315560413764826420	10055350	-1,0,0,0,6,1	10,1,0,-2,0	ok
-1.500000	-28.210526	710859593065315480681823904899075	270083641	-1,0,0,1,9,-1	10,0,-9,0,0	ok
-1.500000	-27.526316	113633757529263022729464490739	108661229721975776109656230848226	-1,0,0,9,7	10,0,1,0,-10	ok
-1.500000	-26.842105	171739881537388322117402	3122356757	-1,0,1,-9,0,-2	-10,0,5,2,0	ok
-1.500000	-26.157895	505214229168848864	144865713	-1,0,7,8,-2	9,9,3,2	ok
-1.500000	-25.473684	20776889689209512165669842832627	6446224145040885	-1,0,-9,0,9	9,-9,0,9	ok
-1.500000	-24.789474	85066239504112458206644676006607750676902466050257589780	12995613620492257	-1,-1,-2,-1,1,7	9,8,8,9	ok
-1.500000	-24.105263	3219628340084172171416620710020	500275878	-1,1,8,8,8	9,7,-9,1	ok
-1.500000	-23.421053	3219628701637038234640289570090	1331678923680297	-1,2,8,8,8	9,-5,2,8	ok
-1.500000	-22.736842	3219629786295819129296526711710	2532472251737659	-1,5,8,8,8	-9,5,8,8	ok
-1.500000	-22.052632	3219630509401825313238807875885	2537570046700137	-1,7,8,8,8	8,8,8,8	ok
-1.500000	-21.368421	3219630690178345890997769317625	2537570046700137	-1,-8,8,8,8	8,8,8,8	ok
-1.500000	-20.684211	498768035658189837530332217308	2537570046700137	1,-8,-8,-8,-8	8,8,8,8	ok
-1.500000	-20.000000	498768035658189837530332217308	999189900303645	1,-8,-8,-8,-8	8,8,-8,-8	ok
