delta_x	delta_ca	T_encoding	gamma_encoding	T_scs	gamma_scs	status
-1.289474	-33.000000	139370419424810	966394644	-1,0,-1,0,1,-1	11,8,-11,-1	ok
-1.289474	-32.315789	165621782060777264	124821807300581306	-1,0,2,-11,0	11,1,9,-11	ok
-1.289474	-31.631579	129068594267201081895811275004880	66523676767191007	-1,0,10,1,-10	-11,0,10,10	ok
-1.289474	-30.947368	2225840489560965117306264882654065	1566068574	-1,0,10,10,10	-11,1,10,-1,0	ok
-1.289474	-30.263158	7201913348682346651032929409	1046737115	-1,-1,-1,-1,1,2	10,10,-10,1	ok
-1.289474	-29.578947	117648675879445270997094855644474	44703220	-1,-2,7,10,9	10,-10,-2,2	ok
-1.289474	-28.894737	289942395436875691228	934391662075	1,-9,7,-10,-3	10,9,-10,4	ok
-1.289474	-28.210526	14134174371883889	512128152017990	1,9,9,9	10,-9,-10,7	ok
-1.289474	-27.526316	14134174371883889	14131094530695371	1,9,9,9	-10,-9,9,9	ok
-1.289474	-26.842105	14134174371883889	14134177230126971	1,9,9,9	-10,9,9,9	ok
-1.289474	-26.157895	14134174203751952	14134177061995017	-1,9,9,9	9,9,9,9	ok
-1.289474	-25.473684	18771403874319079111379122357950	14134177061995017	-1,-9,-9,-9,-9	9,9,9,9	ok
-1.289474	-24.789474	18771403874319079111379122357950	6127218708778185	-1,-9,-9,-9,-9	9,-9,-9,-9	ok
-1.289474	-24.105263	18771403874319079111379122357950	6127218708778185	-1,-9,-9,-9,-9	9,-9,-9,-9	ok
-1.289474	-23.421053	17113432059335363421900214640502	2671081176279736	-1,8,-9,8,-9	-9,8,-9,8	ok
-1.289474	-22.736842	3569698041182158290271216421252	2671081176279736	-1,8,-9,-9,8	-9,8,-9,8	ok
-1.289474	-22.052632	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.289474	-21.368421	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.289474	-20.684211	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
-1.289474	-20.000000	3219630870954874081466514659729	2537570046700137	-1,8,8,8,8	8,8,8,8	ok
