requested_delta_x	-1.4
requested_delta_ca	-32.5
grid_delta_x	-1.399800
grid_delta_ca	-32.525050
saved_T0_method	continued:5
saved_T0_V	-47.853197
saved_T0_Ca	0.810987
recomputed_T0_x	0.615121270019
recomputed_T0_Ca	0.810987164608
recomputed_T0_V	-47.853197489510
saved_T_scs	-1,0,0,0,0,-1,0
saved_gamma_scs	11,1,0,0,-1
recomputed_T_scs	-1,0,0,0,0,-1,0
recomputed_gamma_scs	11,1,0,0,-1
