delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.479592	-41.428571										error: T SSCS does not start with ±1: [3, 0, 0, 0]
-1.479592	-40.918367										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.479592	-40.408163										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.479592	-39.897959										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.479592	-39.387755										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.479592	-38.877551										error: T SSCS does not start with ±1: [2, 0, 0, 0]
-1.479592	-38.367347	-46.791858	0.836500	continued[1]:5	2	89	12	752	1,0,0,0	14,0,0,0	ok
-1.479592	-37.857143	-46.405342	0.836333	continued[1]:5	2	89	30	1101	1,0,0,0	-14,1,0,0	ok
-1.479592	-37.346939	-45.986306	0.835625	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.479592	-36.836735	-45.541896	0.835792	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.479592	-36.326531	-45.081625	0.837041	continued[1]:5	2	89	8	677	1,0,0,0	13,0,0,0	ok
-1.479592	-35.816327	-44.608310	0.838831	continued[1]:5	1	77	6	641	-1,0,0,0	-13,0,0,0	ok
-1.479592	-35.306122	-44.428981	0.839087	continued[3]:5	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.479592	-34.795918	-47.322257	0.826781	continued[2]:5	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.479592	-34.285714	-46.869035	0.825738	continued[1]:5	1	77	4	606	-1,0,0,0	12,0,0,0	ok
-1.479592	-33.775510	-46.380305	0.825778	continued[1]:5	1	77	3	572	-1,0,0,0	-12,0,0,0	ok
-1.479592	-33.265306	-45.864311	0.826692	continued[1]:5	1	77	3	572	-1,0,0,0	-12,0,0,0	ok
-1.479592	-32.755102	-45.330819	0.828610	continued[1]:5	1	77	18	881	-1,0,0,0	11,1,0,0	ok
-1.479592	-32.244898	-44.787469	0.831404	continued[1]:5	1	77	24	968	-1,0,0,0	11,0,-1,0	ok
-1.479592	-31.734694	-44.717597	0.830990	continued[3]:5	1	77	2	539	-1,0,0,0	11,0,0,0	ok
-1.479592	-31.224490	-48.268768	0.813439	continued[2]:5	1	77	2	539	-1,0,0,0	11,0,0,0	ok
-1.479592	-30.714286	-47.800545	0.815023	continued[1]:5	1	77	1	507	-1,0,0,0	-11,0,0,0	ok
-1.479592	-30.204082	-47.280898	0.814649	continued[1]:5	1	77	7	645	-1,0,0,0	-11,-1,0,0	ok
-1.479592	-29.693878	-46.719486	0.815357	continued[1]:5	1	77	143	13021	-1,0,0,0	10,-7,0,0	ok
-1.479592	-29.183673	-46.127697	0.817148	continued[1]:5	1	77	172	25858	-1,0,0,0	10,2,0,1	ok
-1.479592	-28.673469	-45.516691	0.819941	continued[1]:5	20	9590	564	139660354432475	-1,0,0,1	10,1,0,7	ok
-1.479592	-28.163265	-45.428961	0.819813	continued[3]:5	259	6417185222471639	654	30026371664987558	-1,0,0,9	10,0,9,-10	ok
-1.479592	-27.653061	-48.752110	0.806139	continued[2]:5	8	1127	283	776861	-1,0,1,0	10,0,-4,-1	ok
-1.479592	-27.142857	-48.245701	0.805096	continued[1]:5	267	7692852575480627	618	7692854808185066	-1,0,2,9	-10,0,2,9	ok
-1.479592	-26.632653	-47.679942	0.805136	continued[1]:5	129	2936729840	626	12960911599767827	-1,0,8,2	-10,2,8,9	ok
-1.479592	-26.122449	-47.065631	0.806385	continued[1]:5	98	566918627	348	32019985	-1,0,9,1	9,9,-7,0	ok
-1.479592	-25.612245	-46.414863	0.808716	continued[1]:5	218	476725858853090	347	28158742	-1,0,9,7	9,9,1,2	ok
-1.479592	-25.102041	-45.733803	0.811510	continued[1]:5	35	83027	579	2060912994749058	-1,-1,1,1	9,-9,6,8	ok
-1.479592	-24.591837	-45.665787	0.812178	continued[3]:5	277	12955131769494530	389	516313027	-1,1,8,9	9,8,-9,1	ok
-1.479592	-24.081633	-49.196937	0.796234	continued[2]:5	181	55284276420	598	4848127566409812	-1,2,5,-4	9,8,6,-9	ok
-1.479592	-23.571429	-48.659046	0.795526	continued[1]:5	215	448730891062610	602	5845601935691367	-1,3,-9,7	9,7,8,-9	ok
-1.479592	-23.061224	-48.054445	0.796028	continued[1]:5	234	2534169547088045	600	5842422602506936	-1,6,8,8	-9,6,8,-9	ok
-1.479592	-22.551020	-47.392251	0.797611	continued[1]:5	235	2535868835344910	581	2409127854349979	-1,7,8,8	-9,-8,-8,8	ok
-1.479592	-22.040816	-46.685985	0.800404	continued[1]:5	236	2536718799892277	583	2537570046700137	-1,-8,8,8	8,8,8,8	ok
-1.479592	-21.530612	-45.937508	0.803198	continued[1]:5	221	998766650140877	583	2537570046700137	-1,-8,-8,-8	8,8,8,8	ok
-1.479592	-21.020408	-45.871091	0.804614	continued[3]:5	221	998766650140877	583	2537570046700137	-1,-8,-8,-8	8,8,8,8	ok
-1.479592	-20.510204	-50.042582	0.782561	continued[2]:5	221	998766650140877	583	2537570046700137	-1,-8,-8,-8	8,8,8,8	ok
-1.479592	-20.000000	-49.538529	0.785354	continued[1]:5	221	998766650140877	571	999189900303645	-1,-8,-8,-8	8,8,-8,-8	ok
-1.459184	-45.000000										error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.459184	-44.489796										error: T SSCS does not start with ±1: [-2, -1, -1, -1]
-1.459184	-43.979592	-45.652465	0.851921	full	12	2344	139	12055	1,-1,-1,-1	-18,-1,1,-1	ok
