requested_delta_x	-1.0
requested_delta_ca	-32.5
grid_delta_x	-1.001002
grid_delta_ca	-32.525050
saved_T0_method	continued:5
saved_T0_V	-46.103566
saved_T0_Ca	0.773877
recomputed_T0_x	0.657235486876
recomputed_T0_Ca	0.773877348878
recomputed_T0_V	-46.103568126644
saved_T_scs	-1,10,-11,10
saved_gamma_scs	-11,10,-11,10
recomputed_T_scs	-1,10,-11,10
recomputed_gamma_scs	-11,10,-11,10
