delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.277778	-42.222222	-46.393988	0.826173	full	2	89	15	139625	1,0,0,0	-16,0,3,0	ok
-1.277778	-39.444444	-46.060686	0.823380	continued[1]:5	1	77	6	752	-1,0,0,0	14,0,0,0	ok
-1.277778	-36.666667	-45.670084	0.820586	continued[1]:5	5	1127	8	1103	-1,0,1,0	-13,0,-1,0	ok
-1.277778	-33.888889	-45.213309	0.817793	continued[1]:5	14	2041956464	26	2089326380	-1,0,11,1	-12,1,11,1	ok
-1.277778	-31.111111	-44.675822	0.815000	continued[1]:5	33	32497072163139285	50	32497077261929295	-1,-1,0,10	-11,-1,0,10	ok
-1.277778	-28.333333	-48.970869	0.790073	continued[2]:5	31	30124135089904064	47	30124139753553605	-1,9,9,-10	10,9,9,-10	ok
-1.277778	-25.555556	-49.905477	0.773125	full	27	14131091504650400	45	14134177061995017	-1,-9,9,9	9,9,9,9	ok
-1.277778	-22.777778	-49.474743	0.770331	continued[1]:5	23	2671080006838320	38	2671081176279736	-1,8,-9,8	-9,8,-9,8	ok
-1.277778	-20.000000	-48.944341	0.767538	continued[1]:5	22	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.166667	-45.000000	-46.043624	0.821587	full	19	5364510721919	11	2380	1,-3,-2,-6	-18,-2,1	ok
-1.166667	-42.222222	-45.752013	0.818794	continued[1]:5	18	1072553675270	13	40156	-1,0,-1,5	15,-1,-1,1	ok
-1.166667	-39.444444	-45.403084	0.816000	continued[1]:5	6	4370	9	1198	-1,0,-2,0	-14,0,-1,0	ok
-1.166667	-36.666667	-44.986802	0.813207	continued[1]:5	12	89345027	14	108787	-1,-1,5,-2	12,12,-1,0	ok
-1.166667	-33.888889	-48.516482	0.788334	full	37	141520454936285777	22	752041131	-1,0,11,-11	11,11,-11,0	ok
-1.166667	-31.111111	-48.144974	0.785541	continued[1]:5	30	15355801857366479	52	66720926273439432	-1,-10,10,9	-11,10,10,10	ok
