delta_x	delta_ca	T0_V	T0_Ca	T0_method	T_category_id	T_encoding	gamma_category_id	gamma_encoding	T_scs	gamma_scs	status
-1.277778	-42.222222	-46.393988	0.826173	full	2	89	15	139625	1,0,0,0	-16,0,3,0	ok
-1.277778	-39.444444	-46.060686	0.823380	continued[1]:5	1	77	6	752	-1,0,0,0	14,0,0,0	ok
-1.277778	-36.666667	-45.670084	0.820586	continued[1]:5	5	1127	8	1103	-1,0,1,0	-13,0,-1,0	ok
-1.277778	-33.888889	-45.213309	0.817793	continued[1]:5	14	2041956464	26	2089326380	-1,0,11,1	-12,1,11,1	ok
-1.277778	-31.111111	-44.675822	0.815000	continued[1]:5	34	32497072163139285	50	32497077261929295	-1,-1,0,10	-11,-1,0,10	ok
-1.277778	-28.333333	-49.527725	0.777482	full	32	31282545094055729	47	30124139753553605	1,9,-10,-10	10,9,9,-10	ok
-1.277778	-25.555556	-49.101962	0.777522	continued[1]:5	27	6127216826882384	45	14134177061995017	-1,-9,-9,-9	9,9,9,9	ok
-1.277778	-22.777778	-48.582301	0.774728	continued[1]:5	24	2671080006838320	38	2671081176279736	-1,8,-9,8	-9,8,-9,8	ok
-1.277778	-20.000000	-47.956652	0.771935	continued[1]:5	23	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.166667	-45.000000	-46.043624	0.821587	full	20	5364510721919	11	2380	1,-3,-2,-6	-18,-2,1	ok
-1.166667	-42.222222	-45.752013	0.818794	continued[1]:5	19	1072553675270	13	40156	-1,0,-1,5	15,-1,-1,1	ok
-1.166667	-39.444444	-45.403084	0.816000	continued[1]:5	6	4370	9	1198	-1,0,-2,0	-14,0,-1,0	ok
-1.166667	-36.666667	-44.986802	0.813207	continued[1]:5	10	89345027	14	108787	-1,-1,5,-2	12,12,-1,0	ok
-1.166667	-33.888889	-48.516482	0.788334	full	37	141520454936285777	22	752041131	-1,0,11,-11	11,11,-11,0	ok
-1.166667	-31.111111	-48.144974	0.785541	continued[1]:5	30	15355801857366479	52	66720926273439432	-1,-10,10,9	-11,10,10,10	ok
-1.166667	-28.333333	-47.695213	0.782747	continued[1]:5	33	31288139504878815	46	14732317585058792	-1,-10,-10,-10	-10,9,-10,9	ok
-1.166667	-25.555556	-47.157281	0.779954	continued[1]:5	28	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-1.166667	-22.777778	-46.519130	0.777161	continued[1]:5	24	2671080006838320	38	2671081176279736	-1,8,-9,8	-9,8,-9,8	ok
-1.166667	-20.000000	-50.865362	0.745585	full	23	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-1.055556	-45.000000	-46.277459	0.808417	full	8	9314	12	29613	1,-2,-2,0	-17,-1,-2,-1	ok
-1.055556	-42.222222	-45.981790	0.805624	continued[1]:5	3	275	10	1682	-1,0,-1,0	-15,0,0,-1	ok
-1.055556	-39.444444	-45.624237	0.802831	continued[1]:5	44	2084271185549613377	16	140159	-1,-1,2,13	13,13,-1,0	ok
-1.055556	-36.666667	-45.193786	0.800037	continued[1]:5	13	2041828655	58	548931685865374866	-1,1,12,-1	12,-12,0,12	ok
-1.055556	-33.888889	-48.741233	0.774222	full	18	514702014309	21	741298238	-1,-4,-8,4	11,11,11	ok
-1.055556	-31.111111	-48.389859	0.771429	continued[1]:5	35	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-1.055556	-28.333333	-47.956931	0.768635	continued[1]:5	33	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-1.055556	-25.555556	-47.430653	0.765842	continued[1]:5	28	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-1.055556	-22.777778	-46.796973	0.763049	continued[1]:5	26	5848780619532479	38	2671081176279736	-1,8,8,-9	-9,8,-9,8	ok
-1.055556	-20.000000	-50.760690	0.738780	full	23	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.944444	-45.000000	-46.513057	0.795348	full	15	2732194079	17	374513	1,1,-13,-1	16,-15,2	ok
-0.944444	-42.222222	-46.218957	0.792555	continued[1]:5	48	7348228016614021364	29	6286288099	-1,0,5,14	-15,2,14,-1	ok
-0.944444	-39.444444	-45.858935	0.789761	continued[1]:5	41	1818078296518131494	20	2924545	-1,1,12,-13	13,12,-1,-2	ok
-0.944444	-36.666667	-45.421068	0.786968	continued[1]:5	17	19749886884	23	1033010307	-1,11,-12,2	12,-12,-12	ok
-0.944444	-33.888889	-48.970790	0.758954	full	36	137520058369471127	55	137537054508265638	-1,-11,-11,-11	11,11,-11,-11	ok
-0.944444	-31.111111	-48.631826	0.756161	continued[1]:5	35	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.944444	-28.333333	-48.207061	0.753367	continued[1]:5	33	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.944444	-25.555556	-47.682484	0.750574	continued[1]:5	28	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.944444	-22.777778	-47.041418	0.747781	continued[1]:5	23	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.944444	-20.000000	-51.009392	0.723939	full	23	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.833333	-45.000000	-46.751333	0.782378	full	7	7379	31	39665473622	1,1,-2,0	-16,0,-16,-2	ok
-0.833333	-42.222222	-46.464503	0.779585	continued[1]:5	12	1088881110	19	1570850	-1,-1,11,-1	14,-14,-3,-1	ok
-0.833333	-39.444444	-46.108486	0.776792	continued[1]:5	16	12333843269	60	1777327259257775915	-1,-12,-13,-2	-13,-2,-12,-13	ok
-0.833333	-36.666667	-45.670529	0.773998	continued[1]:5	39	533508198414997652	57	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.833333	-33.888889	-48.801618	0.754933	full	36	137520058369471127	54	137520069382767449	-1,-11,-11,-11	11,-11,-11,-11	ok
-0.833333	-31.111111	-48.522673	0.752139	continued[1]:5	35	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.833333	-28.333333	-50.064281	0.729959	full	33	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.833333	-25.555556	-49.769925	0.727165	continued[1]:5	27	6127216826882384	42	6127218708778185	-1,-9,-9,-9	9,-9,-9,-9	ok
-0.833333	-22.777778	-49.385801	0.724372	continued[1]:5	23	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.833333	-20.000000	-48.893739	0.721579	continued[1]:5	21	998766650140877	34	998767320547562	-1,-8,-8,-8	8,-8,-8,-8	ok
-0.722222	-45.000000	-46.992853	0.769501	full	49	11482848972625936126	18	1106297	1,-1,-3,-15	-16,15,-3,0	ok
-0.722222	-42.222222	-46.719006	0.766708	continued[1]:5	46	5933862693397994354	25	1975846926	-1,-2,-14,-14	-14,-1,13	ok
-0.722222	-39.444444	-46.373712	0.763915	continued[1]:5	43	1862522110322978202	24	1930037360	-1,-13,-13,-13	-13,-13,-13	ok
-0.722222	-36.666667	-45.943485	0.761121	continued[1]:5	39	533508198414997652	57	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.722222	-33.888889	-49.050045	0.738706	full	36	137520058369471127	53	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.722222	-31.111111	-48.777941	0.735913	continued[1]:5	35	66720918967500902	51	66720925908142496	-1,10,10,10	10,10,10,10	ok
-0.722222	-28.333333	-48.424968	0.733119	continued[1]:5	31	30124135089904064	46	14732317585058792	-1,9,9,-10	-10,9,-10,9	ok
-0.722222	-25.555556	-47.975702	0.730326	continued[1]:5	27	6127216826882384	41	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.722222	-22.777778	-47.411591	0.727533	continued[1]:5	23	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.722222	-20.000000	-51.201101	0.698483	full	21	998766650140877	33	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
-0.611111	-45.000000	-47.237974	0.756718	full	50	17505000363921614390	62	11277341565956793520	-1,0,-15,-15	15,-1,2,-15	ok
-0.611111	-42.222222	-46.982899	0.753925	continued[1]:5	47	5940442205971251902	28	3446948908	-1,13,-14,-14	-14,-14,-14	ok
-0.611111	-39.444444	-46.655372	0.751131	continued[1]:5	42	1862402202891664994	61	1862522156643875166	-1,12,-13,-13	-13,-13,-13,-13	ok
-0.611111	-36.666667	-46.241312	0.748338	continued[1]:5	39	533508198414997652	57	533508221140224737	-1,-12,-12,-12	-12,-12,-12,-12	ok
-0.611111	-33.888889	-49.302762	0.724282	full	36	137520058369471127	53	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.611111	-31.111111	-49.060215	0.721489	continued[1]:5	33	31288139504878815	49	31288144257776695	-1,-10,-10,-10	10,-10,-10,-10	ok
-0.611111	-28.333333	-48.738114	0.718695	continued[1]:5	28	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.611111	-25.555556	-48.319897	0.715902	continued[1]:5	27	6127216826882384	41	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.611111	-22.777778	-47.785528	0.713109	continued[1]:5	23	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.611111	-20.000000	-47.109744	0.710315	continued[1]:5	21	998766650140877	33	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
-0.500000	-45.000000										error: T SSCS does not start with ±1: [-2, -3, -15, -15]
-0.500000	-42.222222	-48.047218	0.735497	full	45	3361378628987190902	27	2592900051	-1,13,13,13	-14,13,13	ok
-0.500000	-39.444444	-47.818311	0.732704	continued[1]:5	40	1009021255905833795	59	1009021288579133361	-1,12,12,12	12,12,12,12	ok
-0.500000	-36.666667	-47.515940	0.729910	continued[1]:5	38	274761540684197919	56	274761556251461169	-1,11,11,11	11,11,11,11	ok
-0.500000	-33.888889	-47.125292	0.727117	continued[1]:5	36	137520058369471127	53	137520068858324757	-1,-11,-11,-11	-11,-11,-11,-11	ok
-0.500000	-31.111111	-46.627416	0.724323	continued[1]:5	33	31288139504878815	48	31288144007624166	-1,-10,-10,-10	-10,-10,-10,-10	ok
-0.500000	-28.333333	-50.470150	0.693624	full	28	14134174203751952	45	14134177061995017	-1,9,9,9	9,9,9,9	ok
-0.500000	-25.555556	-50.294821	0.690831	continued[1]:5	27	6127216826882384	41	6127218598078424	-1,-9,-9,-9	-9,-9,-9,-9	ok
-0.500000	-22.777778	-50.047016	0.688037	continued[1]:5	23	2537568978100002	37	2537570046700137	-1,8,8,8	8,8,8,8	ok
-0.500000	-20.000000	-49.708807	0.685244	continued[1]:5	21	998766650140877	33	998767275853776	-1,-8,-8,-8	-8,-8,-8,-8	ok
