time	lambda_hat	x	Ca	V
1.0	-0.011609320975005508	0.6903268840668162	0.8856354618875275	-46.04575855197545
2.0	-0.011673745466028496	0.6902007359366991	0.8856296809436535	-46.04973281812913
3.0	-0.011735705969471653	0.6900745471330872	0.8856238612271224	-46.05370712850733
4.0	-0.011799421467660753	0.6899483177726982	0.8856180027317899	-46.05768147862307
5.0	-0.01186292072895942	0.6898220479726598	0.8856121054515481	-46.06165586414899
6.0	-0.01192792991886662	0.6896957378504572	0.8856061693803264	-46.06563028091229
7.0	-0.011993140778570199	0.6895693875238805	0.885600194512092	-46.06960472488987
8.0	-0.01205973172164625	0.6894429971109748	0.8855941808408502	-46.0735791922036
9.0	-0.012127562224870995	0.6893165667299926	0.8855881283606443	-46.07755367911575
10.0	-0.012196554533853918	0.6891900964993478	0.8855820370655565	-46.08152818202456
11.0	-0.012265964940412958	0.6890635865375715	0.885575906949708	-46.085502697459965
12.0	-0.012336575231553215	0.6889370369632696	0.8855697380072591	-46.08947722207943
13.0	-0.012407741715441649	0.6888104478950821	0.8855635302324096	-46.09345175266395
14.0	-0.012480128543568373	0.6886838194516441	0.885557283619399	-46.09742628611416
15.0	-0.012553170219711172	0.6885571517515487	0.8855509981625065	-46.10140081944654
16.0	-0.01262693906989474	0.6884304449133107	0.8855446738560515	-46.105375349789824
17.0	-0.012701975790031357	0.6883036990553323	0.8855383106943935	-46.10934987438143
18.0	-0.012778265376628871	0.6881769142958701	0.8855319086719322	-46.11332439056405
19.0	-0.012854900797732757	0.6880500907530039	0.885525467783108	-46.11729889578238
20.0	-0.012932842878809062	0.6879232285446063	0.8855189880224018	-46.12127338757987
21.0	-0.013012080978047	0.6877963277883135	0.8855124693843349	-46.125247863595646
22.0	-0.013092207872398747	0.687669388601498	0.8855059118634695	-46.129222321561535
23.0	-0.013173646953435819	0.6875424111012418	0.8854993154544085	-46.133196759299125
24.0	-0.013256396318948184	0.6874153954043117	0.8854926801517955	-46.13717117471698
25.0	-0.013340086751306192	0.6872883416271345	0.8854860059503149	-46.141145565807925
26.0	-0.013424747941199827	0.687161249885774	0.885479292844692	-46.14511993064639
27.0	-0.013510756318519505	0.6870341202959095	0.8854725408296927	-46.14909426738587
28.0	-0.013597768135100313	0.6869069529728141	0.8854657499001242	-46.15306857425649
29.0	-0.013685804074913412	0.6867797480313351	0.8854589200508337	-46.15704284956257
30.0	-0.01377521011568697	0.6866525055858748	0.8854520512767097	-46.161017091680364
31.0	-0.013865661221173104	0.6865252257503721	0.885445143572681	-46.16499129905578
32.0	-0.013957485447084486	0.6863979086382858	0.8854381969337173	-46.168965470202245
33.0	-0.014050364774537215	0.6862705543625771	0.8854312113548286	-46.172939603698616
34.0	-0.014144305797208715	0.6861431630356951	0.8854241868310654	-46.176913698187136
35.0	-0.014239611059957758	0.6860157347695611	0.8854171233575185	-46.180887752371476
36.0	-0.014335968946242457	0.6858882696755549	0.8854100209293192	-46.18486176501485
37.0	-0.014433372424120832	0.6857607678645012	0.8854028795416385	-46.18883573493817
38.0	-0.014532097964985405	0.6856332294466574	0.8853956991896879	-46.19280966101827
39.0	-0.014631832074336968	0.6855056545317009	0.8853884798687183	-46.19678354218619
40.0	-0.014732830307047839	0.6853780432287182	0.8853812215740207	-46.200757377425504
41.0	-0.01483477440505622	0.6852503956461945	0.8853739243009257	-46.20473116577073
42.0	-0.014937623788170826	0.6851227118920029	0.8853665880448031	-46.208704906305755
43.0	-0.015041601073929474	0.6849949920733955	0.8853592128010623	-46.21267859816232
44.0	-0.01514636921770383	0.6848672362969943	0.8853517985651519	-46.21665224051859
45.0	-0.015251855692867128	0.6847394446687824	0.8853443453325591	-46.220625832597726
46.0	-0.015358239908748652	0.6846116172940969	0.8853368530988104	-46.224599373666514
47.0	-0.015465150928121875	0.6844837542776209	0.8853293218594704	-46.22857286303406
48.0	-0.015572476810202386	0.6843558557233769	0.8853217516101428	-46.23254630005051
49.0	-0.0156800796211696	0.6842279217347204	0.8853141423464691	-46.23651968410579
50.0	-0.015788056032084784	0.6840999524143337	0.885306494064129	-46.240493014628434
51.0	-0.015896222691343276	0.683971947864221	0.8852988067588402	-46.244466291084436
52.0	-0.01600411587277582	0.6838439081857024	0.885291080426358	-46.248439512976105
53.0	-0.016111255420518902	0.68371583347941	0.8852833150624752	-46.252412679841
54.0	-0.016217869038548726	0.683587723845283	0.8852755106630218	-46.256385791250864
55.0	-0.01632364716734566	0.6834595793825641	0.8852676672238651	-46.26035884681063
56.0	-0.016428001076714407	0.6833314001897958	0.8852597847409089	-46.26433184615745
57.0	-0.01653054442984452	0.6832031863648171	0.8852518632100941	-46.2683047889597
58.0	-0.016631079112811996	0.6830749380047608	0.8852439026273976	-46.272277674916126
59.0	-0.016728658362320823	0.6829466552060506	0.8852359029888328	-46.2762505037549
60.0	-0.016823201208645375	0.6828183380643987	0.885227864290449	-46.2802232752328
61.0	-0.016913878976730173	0.6826899866748044	0.8852197865283311	-46.28419598913437
62.0	-0.01700024799244648	0.6825616011315517	0.8852116696985998	-46.2881686452711
63.0	-0.017081359436831464	0.6824331815282083	0.8852035137974107	-46.29214124348068
64.0	-0.01715642165040643	0.6823047279576242	0.8851953188209549	-46.296113783626225
65.0	-0.017224572725594488	0.6821762405119306	0.885187084765458	-46.30008626559557
66.0	-0.017285079214237258	0.6820477192825394	0.8851788116271805	-46.30405868930053
67.0	-0.017336751038233886	0.6819191643601428	0.885170499402417	-46.308031054676285
68.0	-0.017378711696600664	0.6817905758347126	0.8851621480874963	-46.312003361680645
69.0	-0.01740950674684325	0.6816619537955007	0.885153757678781	-46.315975610293485
70.0	-0.017428342664614023	0.6815332983310387	0.8851453281726676	-46.31994780051608
71.0	-0.017433889628961273	0.6814046095291387	0.8851368595655856	-46.32391993237055
72.0	-0.017425128177298767	0.6812758874768934	0.8851283518539981	-46.32789200589925
73.0	-0.017400894103200563	0.6811471322606768	0.8851198050344007	-46.33186402116424
74.0	-0.017359850253365294	0.6810183439661455	0.8851112191033219	-46.335835978246756
75.0	-0.01730114765204946	0.6808895226782392	0.8851025940573227	-46.33980787724665
76.0	-0.01722399413474463	0.6807606684811823	0.8850939298929962	-46.34377971828192
77.0	-0.017127559786037472	0.6806317814584848	0.8850852266069672	-46.34775150148823
78.0	-0.017011361210658042	0.6805028616929438	0.8850764841958925	-46.35172322701842
79.0	-0.016875000892629926	0.6803739092666455	0.8850677026564602	-46.355694895042056
80.0	-0.016718401539178033	0.6802449242609664	0.8850588819853897	-46.35966650574501
81.0	-0.016541737976981462	0.6801159067565754	0.8850500221794313	-46.36363805932901
82.0	-0.016345413234447125	0.6799868568334356	0.885041123235366	-46.36760955601126
83.0	-0.016130115511976555	0.6798577745708066	0.8850321851500053	-46.37158099602401
84.0	-0.015896777046540495	0.6797286600472463	0.8850232079201907	-46.37555237961419
85.0	-0.0156465012135786	0.6795995133406134	0.885014191542794	-46.37952370704305
