requested_delta_x	-1.0
requested_delta_ca	-38.386774
grid_delta_x	-1.001002
grid_delta_ca	-38.386774
saved_T0_method	continued:5
saved_T_scs	-1,0,12,12
saved_gamma_scs	-13,0,12,12
recomputed_T_scs	-1,0,12,12
recomputed_gamma_scs	-13,0,12,12
T0_section_iterate	1
returned_sample_trajectories	240
sample_count	240
